timestamp,store_id,sku,unit,unit_price,transaction_id,qty,cost_price,expiry_date,inventory_open,inventory_close,waste_units
2014-07-15,Aba,Bread,Unit,214.29,2629,35,170.676210659361,2015-02-02,80,43,0
2014-07-15,Aba,"Cassava meal (gari, yellow)",KG,62.5,2630,25,50.82107487093927,2015-05-27,74,46,2
2014-07-15,Aba,Gari (white),KG,51.17,2631,11,44.324061343615305,2015-03-07,55,42,2
2014-07-15,Aba,Maize (white),KG,92.02,2632,49,76.48012361400426,2015-04-06,56,6,1
2014-07-15,Aba,Maize (yellow),KG,114.29,2633,78,100.63456572048244,2015-03-31,124,46,3
2014-07-15,Aba,Millet,2.6 KG,361.0,2634,70,307.7994991860742,2015-04-28,90,17,2
2014-07-15,Aba,Rice (imported),2.8 KG,264.0,2635,36,227.68554460782278,2014-12-25,67,29,3
2014-07-15,Aba,Rice (local),2.7 KG,480.0,2636,7,416.9184218451144,2014-11-05,9,0,1
2014-07-15,Aba,Sorghum (brown),KG,130.21,2637,43,117.03202626094713,2014-10-29,78,35,0
2014-07-15,Aba,Sorghum (white),KG,130.21,2638,77,98.9110818384725,2015-03-12,126,45,2
2014-07-15,Aba,Yam,2.5 KG,298.0,2639,91,232.84097616260473,2014-10-19,115,23,2
2014-07-15,Aba,Fuel (diesel),L,160.0,2640,63,130.60530456738246,2014-11-23,75,11,3
2014-07-15,Aba,Fuel (petrol-gasoline),L,97.0,2641,71,72.41139184486588,2015-05-03,104,29,4
2014-07-15,Aba,Oil (palm),L,4000.0,2642,7,3546.452561684686,2015-04-23,27,20,4
2014-07-15,Aba,Cowpeas (brown),KG,182.29,2643,72,163.23049939417837,2014-12-21,102,29,2
2014-07-15,Aba,Cowpeas (white),KG,208.33,2644,58,162.99140231907572,2015-05-13,96,36,4
2014-07-15,Aba,Groundnuts (shelled),KG,119.05,2645,43,93.07201677721147,2015-04-14,48,2,0
2014-08-15,Aba,Bread,Unit,230.91,2844,89,178.48361144773222,2015-07-14,131,42,4
2014-08-15,Aba,"Cassava meal (gari, yellow)",KG,63.19,2845,81,53.932576823093534,2015-01-25,96,14,2
2014-08-15,Aba,Gari (white),KG,51.46,2846,33,36.44544680153352,2014-10-03,42,8,2
2014-08-15,Aba,Maize (white),KG,89.25,2847,33,63.817236800324736,2014-09-07,61,24,4
2014-08-15,Aba,Maize (yellow),KG,95.61,2848,55,85.13718386140629,2014-10-03,77,21,2
2014-08-15,Aba,Millet,2.6 KG,343.0,2849,72,275.52657808613117,2014-09-24,117,45,1
2014-08-15,Aba,Rice (imported),2.8 KG,330.0,2850,8,290.3877153116318,2015-05-27,31,21,0
2014-08-15,Aba,Rice (local),2.7 KG,510.0,2851,78,436.55205900349097,2014-10-11,89,8,3
2014-08-15,Aba,Sorghum (brown),KG,121.58,2852,94,107.54158097363296,2014-12-22,143,45,3
2014-08-15,Aba,Sorghum (white),KG,119.13,2853,55,85.23896642921466,2015-03-29,93,36,1
2014-08-15,Aba,Yam,2.5 KG,350.0,2854,2,310.01021835071236,2014-10-04,11,7,1
2014-08-15,Aba,Fuel (diesel),L,160.0,2855,10,138.94948859996003,2014-12-15,51,38,1
2014-08-15,Aba,Fuel (petrol-gasoline),L,97.0,2856,79,70.6730746990321,2014-08-27,92,12,0
2014-08-15,Aba,Oil (palm),L,4000.0,2857,7,2969.816716845645,2015-01-24,25,14,3
2014-08-15,Aba,Cowpeas (brown),KG,174.78,2858,58,155.2511683116547,2015-03-13,106,46,0
