timestamp,store_id,sku,unit,unit_price,transaction_id,qty,cost_price,expiry_date,inventory_open,inventory_close,waste_units
2023-09-15,Bayantasha,Maize flour,2.1 KG,1300.0,68753,2,989.9639392699268,2024-03-28,27,21,3
2023-09-15,Bayantasha,Millet,2.6 KG,900.0,68754,52,735.5737924629706,2024-03-12,88,36,0
2023-09-15,Bayantasha,Rice (imported),2.8 KG,2700.0,68755,90,2051.64329251166,2023-12-04,124,34,0
2023-09-15,Bayantasha,Rice (local),2.7 KG,2000.0,68756,82,1446.135303368257,2024-01-07,94,10,3
2023-09-15,Bayantasha,Sorghum,2.7 KG,1200.0,68757,46,856.2541850982662,2023-12-24,71,21,2
2023-09-15,Bayantasha,Yam,2.5 KG,1500.0,68758,32,1346.3206066492658,2024-05-25,60,24,4
2023-09-15,Bayantasha,Eggs,30 pcs,3000.0,68759,54,2443.303457163233,2023-10-07,58,4,2
2023-09-15,Bayantasha,Fish,KG,417.0,68760,45,304.38168901761804,2024-04-29,87,41,3
2023-09-15,Bayantasha,Meat (beef),KG,2000.0,68761,82,1777.0388146581465,2024-08-20,114,28,2
2023-09-15,Bayantasha,Meat (goat),KG,2200.0,68762,16,1767.6144981855275,2023-12-30,36,19,1
2023-09-15,Bayantasha,Milk (powder),400 G,2800.0,68763,93,2446.1972217812377,2023-12-22,137,43,2
2023-09-15,Bayantasha,Salt,250 G,100.0,68764,64,71.44353197923603,2023-10-07,86,21,4
2023-09-15,Bayantasha,Sugar,500 G,560.0,68765,78,460.0672441335529,2024-03-21,107,27,4
2023-09-15,Bayantasha,Oil (palm),L,1500.0,68766,99,1317.3676221622557,2024-08-10,115,12,4
2023-09-15,Bayantasha,Oil (vegetable),L,1500.0,68767,16,1279.9040813703264,2024-08-05,20,4,4
2023-09-15,Bayantasha,Beans (red),2.5 KG,1500.0,68768,17,1282.0037193165685,2023-11-26,44,24,1
2023-09-15,Bayantasha,Beans (white),2.5 KG,1500.0,68769,51,1271.3742076686233,2023-11-29,51,0,0
2023-09-15,Bayantasha,Cowpeas,2.5 KG,1100.0,68770,8,925.7245581905393,2024-05-06,48,40,3
2023-09-15,Bayantasha,Groundnuts,2.2 KG,2000.0,68771,19,1704.2431072002885,2023-10-30,19,0,1
2023-09-15,Bayantasha,Bananas,1.3 KG,200.0,68772,65,146.14190489985063,2023-12-28,67,0,3
2023-09-15,Bayantasha,Onions,0.5 KG,200.0,68773,65,172.24747683726537,2024-08-27,89,21,3
2023-09-15,Bayantasha,Oranges,400 G,100.0,68774,46,80.50165110566205,2023-12-04,94,48,2
2023-09-15,Bayantasha,Spinach,300 G,50.0,68775,36,40.39989895036015,2024-04-23,76,36,4
2023-09-15,Bayantasha,Tomatoes,0.5 KG,50.0,68776,59,35.01825782663636,2023-11-22,70,10,0
2023-09-15,Bayantasha,Watermelons,2.1 KG,300.0,68777,42,229.6943983656493,2024-02-16,75,31,1
2023-10-15,Bayantasha,Maize flour,2.1 KG,1200.0,69460,87,1052.058412441207,2024-07-11,133,43,0
2023-10-15,Bayantasha,Millet,2.6 KG,1000.0,69461,69,710.6670196862148,2024-07-01,81,8,2
2023-10-15,Bayantasha,Rice (imported),2.8 KG,3100.0,69462,34,2437.0200455083755,2023-12-23,71,37,3
2023-10-15,Bayantasha,Rice (local),2.7 KG,2100.0,69463,95,1569.8530097710375,2024-09-12,115,16,2
2023-10-15,Bayantasha,Sorghum,2.7 KG,1250.0,69464,27,958.3125469488921,2024-01-16,53,25,0
2023-10-15,Bayantasha,Yam,2.5 KG,1900.0,69465,26,1392.7188614529052,2024-03-12,66,38,4
2023-10-15,Bayantasha,Eggs,30 pcs,3000.0,69466,13,2191.369780000156,2024-01-05,23,9,1
2023-10-15,Bayantasha,Meat (beef),KG,2900.0,69467,48,2177.4371036534803,2023-11-04,84,32,4
2023-10-15,Bayantasha,Meat (goat),KG,2900.0,69468,18,2575.111507726851,2024-04-02,35,14,2
2023-10-15,Bayantasha,Milk (powder),400 G,2750.0,69469,73,2373.4025981098316,2024-07-06,83,6,1
2023-10-15,Bayantasha,Salt,250 G,75.0,69470,32,54.80248783712924,2024-03-14,75,40,0
2023-10-15,Bayantasha,Sugar,500 G,760.0,69471,52,571.3891165935931,2024-09-15,100,44,2
2023-10-15,Bayantasha,Oil (palm),L,1200.0,69472,13,1071.4013687464667,2023-12-28,27,14,0
2023-10-15,Bayantasha,Oil (vegetable),L,1850.0,69473,73,1383.4008065216058,2024-08-20,95,20,0
2023-10-15,Bayantasha,Beans (red),2.5 KG,2200.0,69474,87,1925.4900004754015,2023-11-21,126,37,0
2023-10-15,Bayantasha,Beans (white),2.5 KG,1800.0,69475,38,1274.2103348585458,2023-12-13,48,6,2
2023-10-15,Bayantasha,Cowpeas,2.5 KG,2500.0,69476,90,1926.6118546874382,2024-08-20,131,38,2
2023-10-15,Bayantasha,Groundnuts,2.2 KG,1900.0,69477,19,1387.1041786140026,2024-02-29,63,42,4
2023-10-15,Bayantasha,Bananas,1.3 KG,375.0,69478,85,262.8632726634564,2024-09-12,92,3,0
2023-10-15,Bayantasha,Onions,0.5 KG,200.0,69479,50,170.85878185114953,2023-11-20,94,40,3
2023-10-15,Bayantasha,Oranges,400 G,200.0,69480,20,162.15300779447483,2024-05-29,66,42,1
2023-10-15,Bayantasha,Spinach,300 G,100.0,69481,84,84.24055013041863,2024-08-31,87,0,3
2023-10-15,Bayantasha,Tomatoes,0.5 KG,150.0,69482,31,124.11699144914434,2023-10-28,60,27,1
2023-10-15,Bayantasha,Watermelons,2.1 KG,900.0,69483,82,682.9060274863315,2024-10-02,122,37,1
2023-12-15,Bayantasha,Maize flour,2.1 KG,1800.0,70333,73,1473.3397171819624,2024-08-02,115,41,3
2023-12-15,Bayantasha,Millet,2.6 KG,1000.0,70334,34,712.104553492682,2024-08-28,49,14,3
