timestamp,store_id,sku,unit,unit_price,transaction_id,qty,cost_price,expiry_date,inventory_open,inventory_close,waste_units
2025-05-15,Biriri,Maize flour,2.1 KG,1665.0,79463,90,1490.9919639136929,2025-05-28,104,12,4
2025-05-15,Biriri,Millet,2.6 KG,1300.0,79464,20,988.2410651864404,2025-10-23,25,3,4
2025-05-15,Biriri,Rice (local),2.7 KG,3400.0,79465,17,2792.3007523469046,2025-08-13,33,14,3
2025-05-15,Biriri,Sorghum,2.7 KG,1200.0,79466,78,967.4872302776291,2026-03-30,114,36,0
2025-05-15,Biriri,Yam,2.5 KG,4175.0,79467,72,3613.177481044749,2026-05-11,112,37,1
2025-05-15,Biriri,Eggs,30 pcs,7000.0,79468,35,5413.976237327902,2026-02-13,60,22,4
2025-05-15,Biriri,Fish,KG,1000.0,79469,10,758.5639173885962,2026-03-31,25,15,4
2025-05-15,Biriri,Meat (beef),KG,6000.0,79470,98,4553.671692974511,2025-10-04,105,6,2
2025-05-15,Biriri,Meat (goat),KG,4500.0,79471,66,3425.6656814603607,2025-12-08,99,33,3
2025-05-15,Biriri,Milk (powder),400 G,4000.0,79472,1,3563.023211564819,2025-09-03,30,27,0
2025-05-15,Biriri,Salt,250 G,200.0,79473,23,165.77264823119492,2026-03-31,28,3,4
2025-05-15,Biriri,Sugar,500 G,1000.0,79474,69,892.76954837464,2026-02-06,110,37,2
2025-05-15,Biriri,Oil (palm),L,2412.5,79475,10,1919.1481822191324,2025-10-10,39,27,4
2025-05-15,Biriri,Oil (vegetable),L,2500.0,79476,7,2104.853816495893,2025-06-16,40,31,1
2025-05-15,Biriri,Beans (red),2.5 KG,2400.0,79477,39,1872.839890038906,2025-06-17,55,12,2
2025-05-15,Biriri,Beans (white),2.5 KG,2265.0,79478,91,1694.4804758466996,2025-10-27,94,0,2
2025-05-15,Biriri,Groundnuts,2.2 KG,4265.0,79479,76,3775.6700289360474,2025-10-10,79,0,2
2025-05-15,Biriri,Bananas,1.3 KG,500.0,79480,77,440.5457891599352,2026-01-30,113,34,2
2025-05-15,Biriri,Onions,0.5 KG,500.0,79481,96,417.26391678574845,2026-04-28,119,21,2
2025-05-15,Biriri,Oranges,400 G,300.0,79482,88,238.70991919508117,2026-01-31,117,27,4
2025-05-15,Biriri,Spinach,300 G,100.0,79483,81,87.7127962202675,2026-01-08,87,2,4
2025-05-15,Biriri,Tomatoes,0.5 KG,200.0,79484,5,170.9951043035431,2025-06-03,46,40,1
2025-05-15,Biriri,Watermelons,2.1 KG,1070.0,79485,49,928.0874684880084,2025-06-10,73,22,4
2025-06-15,Biriri,Maize flour,2.1 KG,1700.0,80111,88,1241.3330798639981,2025-11-19,96,6,3
2025-06-15,Biriri,Millet,2.6 KG,1300.0,80112,28,989.2507259677666,2025-08-31,63,33,4
2025-06-15,Biriri,Rice (local),2.7 KG,3400.0,80113,59,2540.9257893776767,2025-11-10,77,16,1
2025-06-15,Biriri,Sorghum,2.7 KG,1200.0,80114,23,1016.3505961418921,2025-08-27,61,38,3
2025-06-15,Biriri,Yam,2.5 KG,4000.0,80115,35,2871.444120234692,2026-06-01,65,26,0
2025-06-15,Biriri,Eggs,30 pcs,7000.0,80116,51,5475.173428715144,2025-07-02,88,37,1
2025-06-15,Biriri,Fish,KG,1000.0,80117,29,757.0118672603496,2026-01-13,30,0,2
2025-06-15,Biriri,Meat (beef),KG,6000.0,80118,84,5398.913041166026,2026-01-23,90,3,2
2025-06-15,Biriri,Meat (goat),KG,4500.0,80119,29,3486.695907543202,2026-05-23,37,4,3
2025-06-15,Biriri,Milk (powder),400 G,4000.0,80120,89,3471.5537510299805,2025-10-23,138,46,4
2025-06-15,Biriri,Salt,250 G,200.0,80121,23,165.97281156334026,2026-05-08,53,29,2
2025-06-15,Biriri,Sugar,500 G,1000.0,80122,13,716.3639066351406,2025-10-30,52,35,0
2025-06-15,Biriri,Oil (palm),L,2500.0,80123,1,2148.101293585238,2026-03-06,34,31,3
2025-06-15,Biriri,Oil (vegetable),L,2500.0,80124,74,1882.55808150667,2025-11-20,118,40,0
2025-06-15,Biriri,Beans (red),2.5 KG,2400.0,80125,17,1848.437732119984,2025-11-10,52,31,1
2025-06-15,Biriri,Beans (white),2.5 KG,2300.0,80126,97,1954.0094549594287,2025-10-20,103,3,1
2025-06-15,Biriri,Groundnuts,2.2 KG,4300.0,80127,9,3349.692714147215,2025-12-04,9,0,1
2025-06-15,Biriri,Bananas,1.3 KG,500.0,80128,51,448.0553985717884,2026-04-20,71,19,2
2025-06-15,Biriri,Onions,0.5 KG,500.0,80129,50,363.7559126272314,2026-02-06,54,2,1
2025-06-15,Biriri,Oranges,400 G,300.0,80130,86,227.734379163924,2026-03-13,92,5,0
2025-06-15,Biriri,Spinach,300 G,100.0,80131,49,87.3897222001038,2026-03-11,94,42,3
2025-06-15,Biriri,Tomatoes,0.5 KG,200.0,80132,96,172.97935495111966,2026-06-03,144,44,1
2025-06-15,Biriri,Watermelons,2.1 KG,1000.0,80133,41,741.9106993797708,2026-02-17,42,0,4
