timestamp,store_id,sku,unit,unit_price,transaction_id,qty,cost_price,expiry_date,inventory_open,inventory_close,waste_units
2015-01-15,Biu,Bread,Unit,217.39,3923,79,167.66991274612613,2015-10-06,111,29,4
2015-01-15,Biu,"Cassava meal (gari, yellow)",100 KG,14000.0,3924,20,11810.542399216156,2015-06-05,68,44,3
2015-01-15,Biu,Gari (white),100 KG,12800.0,3925,37,11156.940579962187,2015-10-26,79,40,1
2015-01-15,Biu,Maize (white),100 KG,4000.0,3926,19,2986.5730786218082,2015-02-12,64,41,0
2015-01-15,Biu,Maize (yellow),100 KG,4160.0,3927,7,3211.022147321615,2015-05-16,51,42,1
2015-01-15,Biu,Millet,100 KG,5600.0,3928,36,3941.394182977964,2015-07-16,54,16,3
2015-01-15,Biu,Rice (imported),2.8 KG,507.0,3929,55,440.88875063530537,2015-12-19,76,19,0
2015-01-15,Biu,Rice (local),100 KG,14000.0,3930,26,10027.62594274861,2015-09-17,28,1,3
2015-01-15,Biu,Sorghum (brown),100 KG,4400.0,3931,49,3587.479387305077,2015-11-04,95,43,0
2015-01-15,Biu,Sorghum (white),100 KG,4400.0,3932,83,3582.2931844638674,2015-04-05,131,48,0
2015-01-15,Biu,Yam,100 KG,15000.0,3933,97,13126.819044721107,2015-11-17,117,19,1
2015-01-15,Biu,Fuel (diesel),L,120.0,3934,97,98.55573187162463,2015-02-18,106,5,2
2015-01-15,Biu,Fuel (petrol-gasoline),L,120.0,3935,33,87.19303610837588,2015-02-25,70,37,2
2015-01-15,Biu,Oil (palm),100 L,5300.0,3936,23,4074.67652356827,2015-10-22,49,24,0
2015-01-15,Biu,Cowpeas (brown),100 KG,12000.0,3937,97,8519.744744429328,2015-08-03,105,6,0
2015-01-15,Biu,Cowpeas (white),100 KG,12000.0,3938,31,9714.665300775938,2015-04-07,50,17,4
2015-01-15,Biu,Groundnuts (shelled),100 KG,13500.0,3939,57,11510.140324159742,2015-03-06,89,29,1
2015-02-15,Biu,Bread,Unit,217.39,4192,27,175.37386341553957,2015-07-17,69,39,2
2015-02-15,Biu,"Cassava meal (gari, yellow)",100 KG,14000.0,4193,91,12442.49392289564,2015-08-09,98,5,1
2015-02-15,Biu,Gari (white),100 KG,12600.0,4194,79,8945.687655418322,2015-08-31,111,32,0
2015-02-15,Biu,Maize (white),100 KG,3900.0,4195,37,3109.0822996897805,2015-05-03,53,15,0
2015-02-15,Biu,Maize (yellow),100 KG,3980.0,4196,43,3030.202400949965,2015-10-20,52,8,4
2015-02-15,Biu,Millet,100 KG,5140.0,4197,37,3975.7768661273426,2015-08-18,58,21,1
2015-02-15,Biu,Rice (imported),2.8 KG,507.0,4198,21,418.5988697656048,2015-07-31,51,26,1
2015-02-15,Biu,Rice (local),100 KG,13640.0,4199,12,11648.422136893512,2015-06-04,29,15,4
2015-02-15,Biu,Sorghum (brown),100 KG,4300.0,4200,52,3013.3700478534633,2015-07-05,76,21,4
2015-02-15,Biu,Sorghum (white),100 KG,4480.0,4201,22,3249.391654802811,2015-10-07,28,4,4
2015-02-15,Biu,Yam,100 KG,15000.0,4202,26,12507.251859856728,2015-04-14,74,46,2
2015-02-15,Biu,Fuel (diesel),L,120.0,4203,83,84.87202203115923,2016-01-18,84,0,0
2015-02-15,Biu,Fuel (petrol-gasoline),L,108.5,4204,48,96.2738146991862,2015-05-09,49,1,0
2015-02-15,Biu,Oil (palm),100 L,5300.0,4205,95,3850.5976252313276,2015-09-19,102,5,4
2015-02-15,Biu,Cowpeas (brown),100 KG,11200.0,4206,38,8024.256304102569,2015-12-27,71,30,3
2015-02-15,Biu,Cowpeas (white),100 KG,11880.0,4207,51,9062.382370837391,2015-03-30,87,36,0
2015-02-15,Biu,Groundnuts (shelled),100 KG,13500.0,4208,34,9503.530059018573,2015-04-09,75,40,4
2015-03-15,Biu,Bread,Unit,226.08,4461,72,161.73805293356034,2015-11-13,75,0,0
2015-03-15,Biu,"Cassava meal (gari, yellow)",100 KG,14000.0,4462,20,11436.998199659363,2015-06-11,57,37,0
2015-03-15,Biu,Gari (white),100 KG,12800.0,4463,44,9701.127498503005,2015-09-01,93,46,3
2015-03-15,Biu,Maize (white),100 KG,4320.0,4464,16,3074.758276972969,2016-01-23,53,37,1
2015-03-15,Biu,Maize (yellow),100 KG,4464.0,4465,64,3594.9950791439987,2015-05-07,106,39,3
2015-03-15,Biu,Millet,100 KG,5264.0,4466,27,3825.0059724983657,2015-04-30,40,13,2
2015-03-15,Biu,Rice (imported),2.8 KG,507.0,4467,53,447.47216398283547,2015-07-29,85,31,2
2015-03-15,Biu,Rice (local),100 KG,12560.0,4468,10,10240.794347969037,2015-10-31,20,6,0
2015-03-15,Biu,Sorghum (brown),100 KG,4400.0,4469,22,3298.1812074473705,2015-12-07,41,18,4
2015-03-15,Biu,Sorghum (white),100 KG,4560.0,4470,42,3908.391553529442,2016-02-15,85,40,4
2015-03-15,Biu,Yam,100 KG,15000.0,4471,79,11004.42391662792,2015-08-04,94,12,0
2015-03-15,Biu,Fuel (diesel),L,144.0,4472,82,113.77016648788934,2015-11-02,98,16,0
2015-03-15,Biu,Fuel (petrol-gasoline),L,115.4,4473,41,97.80451262082515,2015-04-14,68,27,4
2015-03-15,Biu,Oil (palm),100 L,5300.0,4474,92,4060.4387897473766,2015-10-01,122,26,0
2015-03-15,Biu,Cowpeas (brown),100 KG,11840.0,4475,79,9623.785945823407,2015-10-31,80,0,2
2015-03-15,Biu,Cowpeas (white),100 KG,11520.0,4476,18,9523.509089470406,2015-07-14,48,28,3
2015-03-15,Biu,Groundnuts (shelled),100 KG,13500.0,4477,33,11257.218892075582,2015-06-08,76,39,1
2015-04-15,Biu,Bread,Unit,217.39,4735,77,194.48458555455392,2015-09-29,121,40,4
2015-04-15,Biu,"Cassava meal (gari, yellow)",100 KG,16000.0,4736,59,11292.717540204434,2015-05-08,61,0,4
2015-04-15,Biu,Gari (white),100 KG,15000.0,4737,89,13145.358252161805,2015-12-03,136,45,0
2015-04-15,Biu,Maize (white),100 KG,4550.0,4738,76,4014.471743702264,2016-03-06,84,8,4
2015-04-15,Biu,Maize (yellow),100 KG,5000.0,4739,72,4318.899098209646,2016-03-02,72,0,3
2015-04-15,Biu,Millet,100 KG,6000.0,4740,47,5237.203493046995,2015-10-23,64,13,2
2015-04-15,Biu,Rice (imported),2.8 KG,507.0,4741,71,439.76384138220936,2015-08-27,81,7,2
2015-04-15,Biu,Rice (local),100 KG,14000.0,4742,97,10639.53967377729,2016-02-18,124,25,1
