timestamp,store_id,sku,unit,unit_price,transaction_id,qty,cost_price,expiry_date,inventory_open,inventory_close,waste_units
2016-12-15,Damaturu (Sunday Market),Maize flour,2.1 KG,250.0,11245,97,182.99174805617895,2017-10-12,97,0,4
2016-12-15,Damaturu (Sunday Market),Millet,2.6 KG,279.0,11246,67,212.27433335383145,2017-09-29,106,37,4
2016-12-15,Damaturu (Sunday Market),Rice (imported),2.8 KG,1034.0,11247,12,898.7226071321368,2017-08-04,35,21,1
2016-12-15,Damaturu (Sunday Market),Rice (local),2.7 KG,708.0,11248,38,629.0964432606697,2017-03-13,78,37,2
2016-12-15,Damaturu (Sunday Market),Yam,2.5 KG,242.0,11249,93,175.88659619269484,2017-06-01,108,12,1
2016-12-15,Damaturu (Sunday Market),Eggs,30 pcs,1000.0,11250,60,841.8516644220986,2017-12-01,82,21,2
2016-12-15,Damaturu (Sunday Market),Fish,KG,42.0,11251,75,34.27994309403692,2017-11-29,88,10,4
2016-12-15,Damaturu (Sunday Market),Meat (beef),KG,1350.0,11252,39,1128.8060553842113,2017-03-06,39,0,4
2016-12-15,Damaturu (Sunday Market),Meat (goat),KG,1200.0,11253,56,1016.8466390343483,2017-03-16,67,9,3
2016-12-15,Damaturu (Sunday Market),Milk (powder),400 G,9300.0,11254,80,7188.483046905166,2017-12-14,124,44,2
2016-12-15,Damaturu (Sunday Market),Oil (palm),L,733.0,11255,4,656.6585303566354,2017-04-19,49,42,0
2016-12-15,Damaturu (Sunday Market),Oil (vegetable),L,833.0,11256,46,628.1506045348435,2016-12-27,59,13,0
2016-12-15,Damaturu (Sunday Market),Beans (red),2.5 KG,781.0,11257,24,592.5505871916992,2017-05-14,51,25,2
2016-12-15,Damaturu (Sunday Market),Beans (white),2.5 KG,781.0,11258,96,676.0063782425912,2017-06-24,106,9,0
2016-12-15,Damaturu (Sunday Market),Cowpeas,2.5 KG,1146.0,11259,97,918.4869122322891,2017-04-08,110,12,4
2016-12-15,Damaturu (Sunday Market),Groundnuts,2.2 KG,550.0,11260,23,472.49631764215786,2017-03-16,34,10,1
2016-12-15,Damaturu (Sunday Market),Bananas,1.3 KG,100.0,11261,15,77.54731226896963,2017-04-01,35,19,0
2016-12-15,Damaturu (Sunday Market),Onions,0.5 KG,63.0,11262,8,55.84336820064435,2017-05-01,17,5,4
2016-12-15,Damaturu (Sunday Market),Oranges,400 G,50.0,11263,36,36.468727934617974,2017-04-15,84,47,1
2016-12-15,Damaturu (Sunday Market),Spinach,300 G,35.0,11264,62,29.11650243462942,2017-05-28,75,9,4
2016-12-15,Damaturu (Sunday Market),Tomatoes,0.5 KG,40.0,11265,4,28.637201042768858,2017-12-10,38,34,2
2016-12-15,Damaturu (Sunday Market),Watermelons,2.1 KG,200.0,11266,39,159.08504359252814,2017-07-06,71,31,3
2017-02-15,Damaturu (Sunday Market),Maize flour,2.1 KG,323.0,12315,39,243.85684073682,2017-08-03,85,46,0
2017-02-15,Damaturu (Sunday Market),Millet,2.6 KG,371.0,12316,91,333.45258324728536,2017-09-23,136,43,4
2017-02-15,Damaturu (Sunday Market),Rice (imported),2.8 KG,1100.0,12317,51,917.7792231467987,2017-11-22,78,26,0
2017-02-15,Damaturu (Sunday Market),Rice (local),2.7 KG,771.0,12318,6,683.6421286008072,2017-08-30,43,36,0
2017-02-15,Damaturu (Sunday Market),Sorghum,2.7 KG,312.0,12319,83,241.66687277201783,2017-06-24,111,26,4
2017-02-15,Damaturu (Sunday Market),Yam,2.5 KG,242.0,12320,72,200.7977171055688,2017-12-19,113,41,1
2017-02-15,Damaturu (Sunday Market),Eggs,30 pcs,1100.0,12321,83,954.141126483266,2017-09-11,117,33,2
2017-02-15,Damaturu (Sunday Market),Fish,KG,167.0,12322,9,127.27039448284066,2017-07-20,25,12,3
2017-02-15,Damaturu (Sunday Market),Meat (beef),KG,1200.0,12323,50,879.585326350174,2018-02-07,89,35,4
2017-02-15,Damaturu (Sunday Market),Meat (goat),KG,1400.0,12324,14,999.5277568844018,2017-08-14,36,18,0
2017-02-15,Damaturu (Sunday Market),Milk (powder),400 G,1000.0,12325,45,732.791521541872,2017-10-22,74,25,2
2017-02-15,Damaturu (Sunday Market),Oil (palm),L,1000.0,12326,30,774.4249313487699,2017-08-17,50,19,0
2017-02-15,Damaturu (Sunday Market),Oil (vegetable),L,780.0,12327,25,571.3372718348127,2017-07-10,56,29,1
2017-02-15,Damaturu (Sunday Market),Beans (red),2.5 KG,729.0,12328,30,617.1513896869452,2018-01-03,73,40,2
2017-02-15,Damaturu (Sunday Market),Beans (white),2.5 KG,625.0,12329,30,538.2671728814984,2017-08-23,33,1,1
2017-02-15,Damaturu (Sunday Market),Cowpeas,2.5 KG,521.0,12330,42,453.97200190384734,2017-03-31,63,18,2
2017-02-15,Damaturu (Sunday Market),Groundnuts,2.2 KG,715.0,12331,3,565.4820120491274,2017-09-06,17,10,0
2017-02-15,Damaturu (Sunday Market),Bananas,1.3 KG,150.0,12332,1,110.9857489412591,2018-01-10,4,0,1
2017-02-15,Damaturu (Sunday Market),Onions,0.5 KG,63.0,12333,35,48.71515276705706,2018-01-21,72,35,2
2017-02-15,Damaturu (Sunday Market),Oranges,400 G,80.0,12334,80,60.21011423746337,2017-09-02,100,18,2
2017-02-15,Damaturu (Sunday Market),Spinach,300 G,50.0,12335,42,43.2274637852606,2017-04-01,58,12,1
2017-02-15,Damaturu (Sunday Market),Tomatoes,0.5 KG,50.0,12336,19,35.012555869604014,2017-05-10,54,33,0
2017-02-15,Damaturu (Sunday Market),Watermelons,2.1 KG,300.0,12337,24,236.17717159428497,2017-08-23,36,12,0
2017-03-15,Damaturu (Sunday Market),Maize flour,2.1 KG,344.0,12907,49,265.38527097049234,2018-03-08,89,36,0
2017-03-15,Damaturu (Sunday Market),Millet,2.6 KG,358.0,12908,82,269.4466012525341,2017-08-23,124,42,1
2017-03-15,Damaturu (Sunday Market),Rice (imported),2.8 KG,1050.0,12909,43,942.6008570710466,2018-03-13,65,19,4
2017-03-15,Damaturu (Sunday Market),Rice (local),2.7 KG,771.0,12910,75,571.5323999491542,2018-01-22,94,18,2
2017-03-15,Damaturu (Sunday Market),Sorghum,2.7 KG,348.0,12911,26,278.09663744863786,2017-10-27,34,8,4
2017-03-15,Damaturu (Sunday Market),Yam,2.5 KG,363.0,12912,76,297.84794356559007,2017-09-23,105,26,1
2017-03-15,Damaturu (Sunday Market),Eggs,30 pcs,1050.0,12913,4,863.9005024193548,2017-10-28,30,22,3
2017-03-15,Damaturu (Sunday Market),Fish,KG,229.0,12914,95,204.03852182772928,2017-08-19,142,44,0
2017-03-15,Damaturu (Sunday Market),Meat (beef),KG,1300.0,12915,58,945.7374181677706,2018-03-10,58,0,2
2017-03-15,Damaturu (Sunday Market),Meat (goat),KG,1350.0,12916,53,1087.7834389649652,2017-09-09,68,11,3
2017-03-15,Damaturu (Sunday Market),Milk (powder),400 G,1000.0,12917,23,882.4491483323537,2018-01-01,69,45,4
2017-03-15,Damaturu (Sunday Market),Oil (palm),L,933.0,12918,33,761.2860398537232,2017-07-30,67,32,1
2017-03-15,Damaturu (Sunday Market),Oil (vegetable),L,933.0,12919,91,702.7205698689804,2017-05-11,131,37,3
2017-03-15,Damaturu (Sunday Market),Beans (red),2.5 KG,807.0,12920,87,654.4100788956989,2018-02-26,98,9,3
2017-03-15,Damaturu (Sunday Market),Beans (white),2.5 KG,755.0,12921,18,618.6534222276034,2018-02-01,25,3,1
2017-03-15,Damaturu (Sunday Market),Cowpeas,2.5 KG,573.0,12922,20,426.02067667355306,2017-11-25,61,37,0
2017-03-15,Damaturu (Sunday Market),Groundnuts,2.2 KG,733.0,12923,41,558.0871504804172,2017-07-30,52,11,0
2017-03-15,Damaturu (Sunday Market),Bananas,1.3 KG,200.0,12924,84,166.4510852469856,2017-09-12,103,19,3
2017-03-15,Damaturu (Sunday Market),Onions,0.5 KG,63.0,12925,98,48.79118037097722,2017-06-15,134,33,1
2017-03-15,Damaturu (Sunday Market),Oranges,400 G,90.0,12926,66,68.04804907187602,2017-11-25,71,1,1
2017-03-15,Damaturu (Sunday Market),Spinach,300 G,55.0,12927,37,48.529331588185755,2018-02-14,37,0,2
2017-03-15,Damaturu (Sunday Market),Tomatoes,0.5 KG,50.0,12928,49,38.04623980305114,2017-07-09,64,13,2
2017-03-15,Damaturu (Sunday Market),Watermelons,2.1 KG,250.0,12929,5,184.21051400613737,2017-11-15,18,9,0
2017-04-15,Damaturu (Sunday Market),Maize flour,2.1 KG,363.0,13531,25,320.4687514532915,2017-12-17,64,35,0
2017-04-15,Damaturu (Sunday Market),Millet,2.6 KG,418.0,13532,65,348.4269469704022,2017-05-26,107,41,2
2017-04-15,Damaturu (Sunday Market),Rice (imported),2.8 KG,1100.0,13533,28,955.658329425177,2017-05-22,31,3,2
2017-04-15,Damaturu (Sunday Market),Rice (local),2.7 KG,820.0,13534,75,704.1431708789353,2017-08-19,105,27,3
2017-04-15,Damaturu (Sunday Market),Sorghum,2.7 KG,447.0,13535,72,342.312579957546,2018-02-13,84,12,1
2017-04-15,Damaturu (Sunday Market),Yam,2.5 KG,484.0,13536,92,386.77789786998375,2017-09-03,103,11,1
2017-04-15,Damaturu (Sunday Market),Eggs,30 pcs,1000.0,13537,12,838.9859620718508,2017-10-26,36,23,0
