timestamp,store_id,sku,unit,unit_price,transaction_id,qty,cost_price,expiry_date,inventory_open,inventory_close,waste_units
2003-08-15,Dawanau,Maize (white),100 KG,2500.0,222,2,1829.2006539603065,2004-05-28,45,42,4
2003-08-15,Dawanau,Millet,100 KG,2500.0,223,74,1982.2080713816038,2003-10-09,97,19,4
2003-08-15,Dawanau,Sorghum (white),100 KG,1800.0,224,82,1585.3811224817155,2004-08-07,129,44,3
2003-09-15,Dawanau,Maize (white),100 KG,2500.0,235,22,1854.6418926812275,2004-01-19,27,1,2
2003-09-15,Dawanau,Millet,100 KG,2500.0,236,20,1907.1301611289875,2003-09-26,39,15,3
2003-09-15,Dawanau,Sorghum (white),100 KG,1800.0,237,68,1425.4088986198574,2003-10-17,107,35,1
2003-10-15,Dawanau,Maize (white),100 KG,2500.0,253,9,1949.7234202954962,2003-12-02,42,33,1
2003-10-15,Dawanau,Millet,100 KG,2500.0,254,85,1946.6708362488134,2004-06-19,92,7,4
2003-10-15,Dawanau,Sorghum (white),100 KG,1800.0,255,13,1537.9593799683387,2004-07-15,45,28,3
2003-11-15,Dawanau,Maize (white),100 KG,2500.0,269,44,1973.4278352906174,2004-05-07,92,46,0
2003-11-15,Dawanau,Millet,100 KG,2500.0,270,79,1915.260471484736,2004-05-18,89,10,4
2003-11-15,Dawanau,Sorghum (white),100 KG,1800.0,271,9,1318.0276250478835,2004-01-31,13,3,2
2003-12-15,Dawanau,Maize (white),100 KG,2500.0,282,61,1959.992814379948,2004-11-23,101,37,1
2003-12-15,Dawanau,Millet,100 KG,2500.0,283,2,1953.362838211123,2004-05-31,19,16,4
2003-12-15,Dawanau,Sorghum (white),100 KG,1800.0,284,42,1591.8615292015943,2004-01-23,84,39,4
2004-01-15,Dawanau,Maize (white),100 KG,3000.0,300,3,2598.266795175132,2004-12-04,13,6,0
2004-01-15,Dawanau,Millet,100 KG,2500.0,301,68,2164.936527998681,2004-01-27,86,14,0
2004-01-15,Dawanau,Sorghum (white),100 KG,2000.0,302,22,1632.5060936876978,2004-10-30,49,26,4
2004-02-15,Dawanau,Maize (white),100 KG,3000.0,303,69,2448.754032260255,2004-04-28,110,38,0
2004-02-15,Dawanau,Millet,100 KG,2600.0,304,42,2095.139388141367,2004-11-01,85,39,0
2004-02-15,Dawanau,Sorghum (white),100 KG,2800.0,305,13,2037.4534598685932,2004-03-14,27,11,2
2004-03-15,Dawanau,Maize (white),100 KG,3600.0,306,84,3149.290373034138,2004-07-24,119,31,4
2004-03-15,Dawanau,Millet,100 KG,2800.0,307,24,2466.878308175067,2004-06-29,54,30,2
2004-03-15,Dawanau,Sorghum (white),100 KG,2800.0,308,68,2458.327522673291,2004-10-03,112,42,1
2004-04-15,Dawanau,Maize (white),100 KG,3800.0,309,49,3261.515148484861,2004-07-23,94,41,0
2004-04-15,Dawanau,Millet,100 KG,3000.0,310,82,2684.3928195181843,2004-07-02,91,7,2
2004-04-15,Dawanau,Sorghum (white),100 KG,2900.0,311,16,2335.4774985342683,2004-10-04,56,38,4
2004-05-15,Dawanau,Maize (white),100 KG,4000.0,312,43,3086.123836254768,2004-09-13,47,4,1
2004-05-15,Dawanau,Millet,100 KG,3100.0,313,70,2416.300841535606,2004-08-01,106,32,0
2004-05-15,Dawanau,Sorghum (white),100 KG,2800.0,314,63,2453.6551134474507,2004-11-16,65,2,1
