timestamp,store_id,sku,unit,unit_price,transaction_id,qty,cost_price,expiry_date,inventory_open,inventory_close,waste_units
2023-06-15,Gamboru,Maize flour,2.1 KG,1100.0,66974,38,834.0760695919281,2023-07-07,81,42,2
2023-06-15,Gamboru,Millet,2.6 KG,950.0,66975,90,685.8763404129367,2023-10-26,113,21,3
2023-06-15,Gamboru,Rice (imported),2.8 KG,2200.0,66976,98,1803.5015852505453,2024-03-24,143,44,3
2023-06-15,Gamboru,Rice (local),2.7 KG,1400.0,66977,38,1017.5234462606222,2024-02-14,38,0,0
2023-06-15,Gamboru,Sorghum,2.7 KG,725.0,66978,97,598.5345149166872,2023-07-14,115,14,2
2023-06-15,Gamboru,Yam,2.5 KG,3250.0,66979,16,2397.675339265341,2023-11-13,51,34,3
2023-06-15,Gamboru,Eggs,30 pcs,2500.0,66980,92,1969.472963094822,2023-06-28,139,44,3
2023-06-15,Gamboru,Fish,KG,250.0,66981,6,196.9794869388417,2024-05-31,47,41,4
2023-06-15,Gamboru,Meat (beef),KG,3000.0,66982,64,2335.5355058249243,2023-10-07,84,20,4
2023-06-15,Gamboru,Meat (goat),KG,3500.0,66983,15,2464.528742355681,2023-08-11,48,33,2
2023-06-15,Gamboru,Milk (powder),400 G,1400.0,66984,77,1186.4973872593846,2023-12-16,93,14,3
2023-06-15,Gamboru,Salt,250 G,75.0,66985,6,57.41273126858327,2024-01-09,16,7,2
2023-06-15,Gamboru,Sugar,500 G,440.0,66986,8,321.58475582561306,2023-08-06,43,32,1
2023-06-15,Gamboru,Oil (palm),L,1500.0,66987,98,1156.0488087166532,2024-05-09,128,26,0
2023-06-15,Gamboru,Oil (vegetable),L,1500.0,66988,20,1233.7262841958573,2024-02-05,67,45,2
2023-06-15,Gamboru,Beans (red),2.5 KG,1000.0,66989,26,884.4231496784955,2024-04-26,27,0,3
2023-06-15,Gamboru,Cowpeas,2.5 KG,1100.0,66990,86,920.6921525555063,2023-09-25,115,25,3
2023-06-15,Gamboru,Groundnuts,2.2 KG,2000.0,66991,92,1443.1256478839641,2024-04-13,99,4,4
2023-06-15,Gamboru,Onions,0.5 KG,150.0,66992,50,113.63524952393986,2023-08-07,97,44,2
2023-06-15,Gamboru,Oranges,400 G,200.0,66993,11,155.1145270028738,2023-10-28,12,0,1
2023-06-15,Gamboru,Watermelons,2.1 KG,450.0,66994,95,320.64232612388884,2024-04-20,133,37,3
2023-07-15,Gamboru,Maize flour,2.1 KG,1196.77,67447,36,849.6366370266993,2024-04-03,42,3,0
2023-07-15,Gamboru,Millet,2.6 KG,959.68,67448,1,861.2991716275344,2023-09-10,25,23,4
2023-07-15,Gamboru,Rice (imported),2.8 KG,2516.13,67449,72,2139.878257616401,2023-12-05,86,14,0
2023-07-15,Gamboru,Rice (local),2.7 KG,1496.77,67450,96,1307.637931796728,2024-04-22,131,32,1
2023-07-15,Gamboru,Sorghum,2.7 KG,825.81,67451,90,741.4280152182478,2024-02-08,116,25,4
2023-07-15,Gamboru,Yam,2.5 KG,3095.83,67452,17,2334.211116549176,2023-12-11,64,43,4
2023-07-15,Gamboru,Eggs,30 pcs,2477.42,67453,22,2198.4762636178234,2023-11-03,42,20,0
2023-07-15,Gamboru,Fish,KG,340.32,67454,49,289.6710730691858,2024-01-15,51,1,4
2023-07-15,Gamboru,Meat (beef),KG,3000.0,67455,43,2483.4305126347354,2023-11-03,91,45,4
2023-07-15,Gamboru,Meat (goat),KG,3500.0,67456,48,2787.5767522167757,2024-07-13,91,40,3
2023-07-15,Gamboru,Milk (powder),400 G,1451.61,67457,87,1304.3578524190282,2024-04-11,108,20,4
2023-07-15,Gamboru,Salt,250 G,70.48,67458,69,54.11396288753998,2023-12-08,74,5,0
2023-07-15,Gamboru,Sugar,500 G,467.42,67459,22,379.20130270212854,2023-10-13,42,20,2
2023-07-15,Gamboru,Oil (palm),L,1432.26,67460,41,1252.529766820596,2024-06-17,47,5,1
2023-07-15,Gamboru,Oil (vegetable),L,1432.26,67461,46,1003.0734356977518,2024-02-25,64,17,3
2023-07-15,Gamboru,Beans (red),2.5 KG,1119.35,67462,24,896.6765326992113,2024-02-04,25,0,2
2023-07-15,Gamboru,Beans (white),2.5 KG,1043.1,67463,83,766.8801337889163,2024-06-28,129,43,0
2023-07-15,Gamboru,Cowpeas,2.5 KG,1060.48,67464,58,806.6380564099215,2024-07-01,76,17,2
2023-07-15,Gamboru,Groundnuts,2.2 KG,2022.58,67465,79,1550.3909992404633,2024-02-23,126,47,1
2023-07-15,Gamboru,Onions,0.5 KG,230.65,67466,92,171.17222360329777,2024-04-27,110,15,4
2023-07-15,Gamboru,Oranges,400 G,194.35,67467,5,158.9804575598271,2024-01-10,27,21,2
2023-07-15,Gamboru,Spinach,300 G,50.0,67468,53,39.65105158157341,2024-02-13,100,47,2
2023-07-15,Gamboru,Watermelons,2.1 KG,416.18,67469,81,335.06322831566257,2023-10-29,93,9,1
2023-08-15,Gamboru,Maize flour,2.1 KG,1335.0,68045,31,1085.9556913318245,2024-08-04,37,4,1
2023-08-15,Gamboru,Millet,2.6 KG,1285.0,68046,9,938.6586723417903,2024-03-14,33,21,3
2023-08-15,Gamboru,Rice (imported),2.8 KG,2585.0,68047,92,2248.468936753941,2024-01-27,126,34,4
2023-08-15,Gamboru,Rice (local),2.7 KG,1810.0,68048,54,1477.2624548568397,2023-08-27,84,26,3
2023-08-15,Gamboru,Sorghum,2.7 KG,1085.0,68049,1,765.5857311407693,2024-02-06,2,0,4
2023-08-15,Gamboru,Yam,2.5 KG,3697.5,68050,78,3217.923690713223,2024-06-10,114,34,4
2023-08-15,Gamboru,Eggs,30 pcs,2430.0,68051,76,2070.584810477294,2024-05-31,79,3,0
2023-08-15,Gamboru,Fish,KG,302.5,68052,90,223.38887664234747,2024-01-26,118,28,1
2023-08-15,Gamboru,Meat (beef),KG,3000.0,68053,44,2686.7299684363893,2024-07-09,51,6,0
2023-08-15,Gamboru,Meat (goat),KG,3500.0,68054,50,2509.986608688032,2024-06-19,54,2,3
