timestamp,store_id,sku,unit,unit_price,transaction_id,qty,cost_price,expiry_date,inventory_open,inventory_close,waste_units
2016-12-15,Geidam,Maize flour,2.1 KG,310.0,11267,23,227.35806258513472,2017-05-22,46,21,4
2016-12-15,Geidam,Millet,2.6 KG,371.0,11268,62,312.6982906111464,2017-07-18,81,18,0
2016-12-15,Geidam,Rice (imported),2.8 KG,1000.0,11269,69,730.9241440232086,2017-04-14,94,23,0
2016-12-15,Geidam,Rice (local),2.7 KG,700.0,11270,41,513.6501395644209,2017-01-16,85,42,1
2016-12-15,Geidam,Yam,2.5 KG,242.0,11271,23,187.44583539543424,2017-01-01,50,24,0
2016-12-15,Geidam,Eggs,30 pcs,1050.0,11272,62,751.0009751685095,2017-06-28,63,0,0
2016-12-15,Geidam,Fish,KG,389.0,11273,35,312.5061918965567,2017-05-25,64,29,4
2016-12-15,Geidam,Meat (beef),KG,2333.0,11274,43,1707.014336691884,2017-10-17,72,28,4
2016-12-15,Geidam,Meat (goat),KG,1833.0,11275,42,1417.7867471151828,2017-02-06,44,0,2
2016-12-15,Geidam,Milk (powder),400 G,1000.0,11276,13,893.7178646243955,2017-08-23,40,27,0
2016-12-15,Geidam,Oil (palm),L,1111.0,11277,74,789.0849472599093,2017-12-13,86,11,3
2016-12-15,Geidam,Oil (vegetable),L,933.0,11278,99,733.9230492453659,2017-07-24,134,33,3
2016-12-15,Geidam,Beans (red),2.5 KG,590.0,11279,90,465.6607622449595,2017-06-02,126,34,0
2016-12-15,Geidam,Beans (white),2.5 KG,485.0,11280,81,427.13695217637496,2017-07-23,128,47,1
2016-12-15,Geidam,Cowpeas,2.5 KG,433.0,11281,61,313.16051891746235,2017-01-06,106,45,2
2016-12-15,Geidam,Groundnuts,2.2 KG,550.0,11282,17,463.858762454662,2017-08-07,44,25,2
2016-12-15,Geidam,Bananas,1.3 KG,108.0,11283,40,92.43331326971511,2017-03-06,62,19,3
2016-12-15,Geidam,Onions,0.5 KG,104.0,11284,25,76.93855108983146,2017-03-20,57,28,4
2016-12-15,Geidam,Oranges,400 G,87.0,11285,51,64.43008289067129,2017-03-07,98,43,0
2016-12-15,Geidam,Spinach,300 G,100.0,11286,90,88.07699198561009,2017-12-14,134,43,2
2016-12-15,Geidam,Tomatoes,0.5 KG,50.0,11287,63,41.11906121004322,2017-04-14,66,0,2
2016-12-15,Geidam,Watermelons,2.1 KG,143.0,11288,49,126.00084448479426,2017-07-08,56,5,2
2017-02-15,Geidam,Maize flour,2.1 KG,323.0,12338,89,279.37871472843494,2017-07-30,102,12,2
2017-02-15,Geidam,Millet,2.6 KG,371.0,12339,46,289.85945121453733,2017-04-02,72,22,3
2017-02-15,Geidam,Rice (imported),2.8 KG,1000.0,12340,8,769.4086252315577,2017-02-25,55,44,4
2017-02-15,Geidam,Rice (local),2.7 KG,675.0,12341,88,523.3096662856726,2017-03-05,93,3,3
2017-02-15,Geidam,Sorghum,2.7 KG,374.0,12342,87,262.12317877448817,2017-12-27,133,42,3
2017-02-15,Geidam,Yam,2.5 KG,323.0,12343,85,257.6741047491094,2017-05-01,107,21,4
2017-02-15,Geidam,Eggs,30 pcs,1080.0,12344,27,910.3109126572261,2017-05-23,68,40,4
2017-02-15,Geidam,Fish,KG,250.0,12345,35,190.67743326467033,2017-11-24,45,7,0
2017-02-15,Geidam,Meat (beef),KG,1000.0,12346,46,759.2237294607746,2017-03-06,49,0,3
2017-02-15,Geidam,Meat (goat),KG,1200.0,12347,65,942.0611645630523,2017-07-22,81,13,0
2017-02-15,Geidam,Milk (powder),400 G,1000.0,12348,94,754.3441206451762,2018-02-02,122,24,0
2017-02-15,Geidam,Oil (palm),L,1000.0,12349,30,725.9094491994804,2017-07-15,66,36,1
2017-02-15,Geidam,Oil (vegetable),L,780.0,12350,89,700.5917060823456,2017-10-02,92,3,4
2017-02-15,Geidam,Beans (red),2.5 KG,729.0,12351,10,596.6400448263713,2017-11-29,16,6,1
2017-02-15,Geidam,Beans (white),2.5 KG,729.0,12352,70,518.879061922998,2017-07-07,112,41,1
2017-02-15,Geidam,Cowpeas,2.5 KG,479.0,12353,6,336.363853825616,2018-01-05,7,0,1
2017-02-15,Geidam,Groundnuts,2.2 KG,642.0,12354,43,495.6238987396823,2017-08-14,43,0,1
2017-02-15,Geidam,Bananas,1.3 KG,100.0,12355,44,83.1915691358795,2017-04-18,56,12,4
2017-02-15,Geidam,Onions,0.5 KG,63.0,12356,77,48.40274449214858,2017-04-25,79,1,2
2017-02-15,Geidam,Oranges,400 G,80.0,12357,62,68.48922207547689,2017-12-14,102,40,4
2017-02-15,Geidam,Spinach,300 G,20.0,12358,41,16.514185012973826,2017-04-24,66,23,4
2017-02-15,Geidam,Tomatoes,0.5 KG,30.0,12359,57,21.477470024330632,2017-11-18,93,34,4
2017-02-15,Geidam,Watermelons,2.1 KG,200.0,12360,9,159.53242405809138,2017-11-20,21,8,1
2017-03-15,Geidam,Maize flour,2.1 KG,323.0,12930,6,254.20687494270098,2018-02-15,22,12,1
2017-03-15,Geidam,Millet,2.6 KG,371.0,12931,2,294.13967940797653,2018-02-10,26,22,4
2017-03-15,Geidam,Rice (imported),2.8 KG,1100.0,12932,75,799.9668260069361,2018-02-12,88,9,0
2017-03-15,Geidam,Rice (local),2.7 KG,771.0,12933,95,599.8668211262376,2017-11-02,115,19,2
2017-03-15,Geidam,Sorghum,2.7 KG,415.0,12934,92,342.1636054506748,2018-01-07,96,3,4
2017-03-15,Geidam,Yam,2.5 KG,383.0,12935,39,269.78696045595404,2017-11-27,40,0,2
2017-03-15,Geidam,Eggs,30 pcs,1150.0,12936,88,1005.1499837590478,2017-12-06,101,9,0
2017-03-15,Geidam,Fish,KG,208.0,12937,34,162.01581221739528,2017-11-29,60,22,1
2017-03-15,Geidam,Meat (beef),KG,1200.0,12938,26,1063.2645383255076,2017-10-11,62,32,2
2017-03-15,Geidam,Meat (goat),KG,1250.0,12939,5,976.3313896174171,2017-12-13,34,29,4
2017-03-15,Geidam,Milk (powder),400 G,1000.0,12940,14,713.573069180864,2018-02-12,24,6,2
2017-03-15,Geidam,Oil (palm),L,933.0,12941,9,735.086846632293,2017-10-02,26,15,0
2017-03-15,Geidam,Oil (vegetable),L,967.0,12942,36,716.6187322351791,2017-05-19,38,2,2
2017-03-15,Geidam,Beans (red),2.5 KG,781.0,12943,22,596.3433113475309,2017-08-31,48,23,0
2017-03-15,Geidam,Beans (white),2.5 KG,729.0,12944,97,565.5450104722069,2017-05-13,125,27,4
2017-03-15,Geidam,Cowpeas,2.5 KG,521.0,12945,39,447.3675466991395,2017-03-22,77,37,3
2017-03-15,Geidam,Groundnuts,2.2 KG,779.0,12946,7,583.118014083973,2017-11-16,28,21,1
2017-03-15,Geidam,Bananas,1.3 KG,225.0,12947,10,189.47394051495237,2017-05-02,50,36,3
2017-03-15,Geidam,Onions,0.5 KG,63.0,12948,29,55.23957030472398,2018-02-03,66,35,0
2017-03-15,Geidam,Oranges,400 G,90.0,12949,40,78.30912420009135,2017-05-31,64,21,4
2017-03-15,Geidam,Spinach,300 G,70.0,12950,57,62.874624942675744,2017-12-04,84,23,1
2017-03-15,Geidam,Tomatoes,0.5 KG,60.0,12951,58,42.69378573468888,2017-06-08,66,8,0
2017-03-15,Geidam,Watermelons,2.1 KG,325.0,12952,29,258.3446442668464,2017-04-26,58,26,4
2017-04-15,Geidam,Maize flour,2.1 KG,323.0,13554,35,234.24216053601137,2018-02-03,76,41,1
2017-04-15,Geidam,Millet,2.6 KG,353.0,13555,24,311.39215261894054,2017-12-22,38,14,2
2017-04-15,Geidam,Rice (imported),2.8 KG,1000.0,13556,85,884.0329603075387,2017-10-28,131,44,3
2017-04-15,Geidam,Rice (local),2.7 KG,868.0,13557,73,669.5879100100408,2017-04-26,105,31,0
2017-04-15,Geidam,Sorghum,2.7 KG,363.0,13558,80,282.2027887919166,2017-10-18,123,43,0
2017-04-15,Geidam,Yam,2.5 KG,565.0,13559,39,456.24468709195065,2017-10-27,71,28,1
2017-04-15,Geidam,Eggs,30 pcs,1050.0,13560,79,864.7541175384679,2018-03-18,116,35,2
2017-04-15,Geidam,Fish,KG,167.0,13561,16,145.35419495884824,2017-12-03,33,13,0
2017-04-15,Geidam,Meat (beef),KG,800.0,13562,9,683.2611967054545,2018-02-17,25,13,3
2017-04-15,Geidam,Meat (goat),KG,900.0,13563,6,734.0637709892818,2018-03-10,29,20,4
