timestamp,store_id,sku,unit,unit_price,transaction_id,qty,cost_price,expiry_date,inventory_open,inventory_close,waste_units
2014-07-15,Gombe,Bread,Unit,285.71,2667,91,228.87163002392654,2014-11-14,122,27,3
2014-07-15,Gombe,"Cassava meal (gari, yellow)",100 KG,15000.0,2668,44,12580.446112857782,2015-01-20,52,6,4
2014-07-15,Gombe,Gari (white),100 KG,11000.0,2669,31,8692.835918613599,2014-12-25,77,45,3
2014-07-15,Gombe,Maize (white),100 KG,5000.0,2670,65,4442.063163448888,2015-04-20,95,30,0
2014-07-15,Gombe,Maize (yellow),100 KG,5000.0,2671,27,3579.236478484567,2015-01-20,34,7,0
2014-07-15,Gombe,Millet,100 KG,6000.0,2672,17,4534.160202312639,2014-11-14,50,32,4
2014-07-15,Gombe,Rice (imported),50 KG,8200.0,2673,22,7331.6045605915215,2014-10-30,62,37,1
2014-07-15,Gombe,Rice (local),100 KG,13000.0,2674,81,9353.555162909532,2015-05-14,114,33,3
2014-07-15,Gombe,Sorghum (brown),100 KG,6000.0,2675,68,4465.529277817349,2014-10-23,96,25,1
2014-07-15,Gombe,Sorghum (white),100 KG,6000.0,2676,71,4862.652300611797,2014-09-01,108,36,4
2014-07-15,Gombe,Yam,100 KG,11960.0,2677,83,9899.954922664814,2015-04-22,93,6,1
2014-07-15,Gombe,Fuel (diesel),L,155.0,2678,12,120.58688022694317,2014-07-28,50,37,0
2014-07-15,Gombe,Fuel (petrol-gasoline),L,97.0,2679,88,79.6820219291759,2015-04-17,113,21,1
2014-07-15,Gombe,Oil (palm),L,6500.0,2680,67,5114.4550579076495,2015-06-20,84,13,1
2014-07-15,Gombe,Cowpeas (brown),100 KG,15000.0,2681,43,10836.113704248355,2015-03-04,48,2,3
2014-07-15,Gombe,Cowpeas (white),100 KG,11000.0,2682,74,8087.800733857463,2015-03-22,86,8,0
2014-07-15,Gombe,Groundnuts (shelled),100 KG,28000.0,2683,24,23995.212993769062,2015-07-02,55,30,0
2014-08-15,Gombe,"Cassava meal (gari, yellow)",100 KG,15000.0,2882,50,12097.515728102584,2015-06-11,55,4,4
2014-08-15,Gombe,Gari (white),100 KG,11000.0,2883,25,9780.646220014374,2015-03-31,66,40,0
2014-08-15,Gombe,Maize (white),100 KG,4500.0,2884,43,3685.200718440061,2015-02-20,65,22,1
2014-08-15,Gombe,Maize (yellow),100 KG,4500.0,2885,10,3153.377472803779,2015-04-18,30,19,1
2014-08-15,Gombe,Millet,100 KG,5925.0,2886,2,4722.64569782769,2015-02-06,39,35,4
2014-08-15,Gombe,Rice (imported),50 KG,8050.0,2887,26,6178.086857385701,2014-11-07,27,0,4
2014-08-15,Gombe,Rice (local),100 KG,13250.0,2888,60,9513.907649905015,2015-02-10,71,9,1
2014-08-15,Gombe,Sorghum (brown),100 KG,4725.0,2889,57,3901.946929669678,2014-12-31,94,37,3
2014-08-15,Gombe,Sorghum (white),100 KG,4655.0,2890,5,3723.6271752311277,2014-11-22,37,31,4
2014-08-15,Gombe,Yam,100 KG,10790.0,2891,89,8758.671971839902,2014-09-11,101,9,2
2014-08-15,Gombe,Fuel (diesel),L,155.0,2892,88,119.17214094023534,2014-10-18,121,31,2
2014-08-15,Gombe,Fuel (petrol-gasoline),L,97.0,2893,48,83.78018945413507,2015-03-20,90,40,3
2014-08-15,Gombe,Oil (palm),L,6500.0,2894,89,5439.964815967071,2015-02-07,104,12,0
2014-08-15,Gombe,Cowpeas (brown),100 KG,15000.0,2895,31,10600.249079029183,2014-11-12,71,38,2
2014-08-15,Gombe,Cowpeas (white),100 KG,12000.0,2896,94,8935.297642285972,2015-05-16,122,26,1
2014-08-15,Gombe,Groundnuts (shelled),100 KG,21525.0,2897,6,18420.560141921946,2015-04-10,39,29,1
2014-09-15,Gombe,Bread,Unit,285.71,3099,82,245.35573866627848,2014-10-28,101,16,2
2014-09-15,Gombe,"Cassava meal (gari, yellow)",100 KG,14800.0,3100,36,11083.707325751007,2014-11-03,65,29,3
2014-09-15,Gombe,Gari (white),100 KG,10740.0,3101,67,8113.716713174088,2014-09-27,92,23,1
2014-09-15,Gombe,Maize (white),100 KG,4788.0,3102,75,3878.2918088795823,2015-06-05,115,37,3
2014-09-15,Gombe,Maize (yellow),100 KG,4800.0,3103,94,4136.282484764963,2014-10-25,140,46,0
2014-09-15,Gombe,Millet,100 KG,5320.0,3104,14,4101.629450116292,2015-02-24,48,33,0
2014-09-15,Gombe,Rice (imported),50 KG,8000.0,3105,85,5616.474807244509,2014-10-26,87,1,2
2014-09-15,Gombe,Rice (local),100 KG,13200.0,3106,8,10985.627769062838,2014-10-15,47,37,1
2014-09-15,Gombe,Sorghum (brown),100 KG,4880.0,3107,69,4206.351512379594,2014-09-26,105,32,1
2014-09-15,Gombe,Sorghum (white),100 KG,4632.0,3108,87,3776.9246264612343,2015-01-26,131,40,4
2014-09-15,Gombe,Yam,100 KG,10416.0,3109,99,9306.10753080651,2015-07-08,147,44,3
2014-09-15,Gombe,Fuel (diesel),L,155.0,3110,47,133.15637447500046,2015-03-20,52,5,4
2014-09-15,Gombe,Fuel (petrol-gasoline),L,97.0,3111,63,79.0593755017079,2015-09-14,84,17,0
2014-09-15,Gombe,Oil (palm),L,6000.0,3112,60,4981.375184431176,2015-05-16,97,36,3
2014-09-15,Gombe,Cowpeas (brown),100 KG,14800.0,3113,60,12642.524676981593,2015-03-29,103,42,2
2014-09-15,Gombe,Cowpeas (white),100 KG,11800.0,3114,56,10427.160576890603,2014-10-06,88,29,0
2014-09-15,Gombe,Groundnuts (shelled),100 KG,18600.0,3115,53,14114.16527763633,2015-04-19,64,7,2
2014-10-15,Gombe,"Cassava meal (gari, yellow)",100 KG,14750.0,3317,70,12444.84071253068,2015-01-17,80,9,4
2014-10-15,Gombe,Gari (white),100 KG,10050.0,3318,28,7564.407359664494,2015-02-26,41,12,4
2014-10-15,Gombe,Maize (white),100 KG,4900.0,3319,17,4333.47988340598,2015-10-05,56,35,2
2014-10-15,Gombe,Maize (yellow),100 KG,4900.0,3320,79,3453.068389038723,2015-02-16,84,3,3
2014-10-15,Gombe,Millet,100 KG,4875.0,3321,69,3638.683711493606,2015-07-28,97,24,1
2014-10-15,Gombe,Rice (imported),50 KG,8000.0,3322,61,6456.38606187183,2015-01-14,86,24,1
2014-10-15,Gombe,Rice (local),100 KG,11750.0,3323,71,9903.838216197955,2015-08-13,114,40,3
2014-10-15,Gombe,Sorghum (brown),100 KG,4800.0,3324,25,3737.6529413774842,2015-10-09,52,27,0
2014-10-15,Gombe,Sorghum (white),100 KG,4600.0,3325,9,4106.784458606461,2015-06-30,46,33,1
2014-10-15,Gombe,Yam,100 KG,10000.0,3326,16,8346.792885293196,2015-04-19,18,2,2
2014-10-15,Gombe,Fuel (diesel),L,155.0,3327,31,124.56140272915144,2014-11-11,42,11,0
2014-10-15,Gombe,Fuel (petrol-gasoline),L,97.0,3328,26,82.96286352997926,2014-11-09,67,39,3
2014-10-15,Gombe,Oil (palm),L,6000.0,3329,47,4595.934885058675,2015-06-04,66,16,1
2014-10-15,Gombe,Cowpeas (brown),100 KG,15500.0,3330,45,13507.157946973408,2015-08-30,88,43,0
2014-10-15,Gombe,Cowpeas (white),100 KG,12500.0,3331,22,10548.469284895376,2015-07-28,30,6,3
2014-10-15,Gombe,Groundnuts (shelled),100 KG,17500.0,3332,58,13884.743207516176,2015-04-03,97,36,0
2014-11-15,Gombe,Bread,Unit,253.24,3530,43,201.66243775259824,2015-05-09,59,14,2
2014-11-15,Gombe,"Cassava meal (gari, yellow)",100 KG,14000.0,3531,57,11293.99004385499,2015-07-22,88,31,1
2014-11-15,Gombe,Gari (white),100 KG,9500.0,3532,37,7275.1145314313935,2015-01-22,49,8,3
2014-11-15,Gombe,Maize (white),100 KG,4950.0,3533,62,4094.023896272713,2015-07-11,110,47,0
2014-11-15,Gombe,Maize (yellow),100 KG,4950.0,3534,61,4439.130468456236,2015-09-22,90,29,0
2014-11-15,Gombe,Millet,100 KG,5075.0,3535,31,4307.611542304006,2015-02-26,47,12,2
2014-11-15,Gombe,Rice (imported),50 KG,8000.0,3536,51,6958.208822693178,2015-02-03,81,26,0
2014-11-15,Gombe,Rice (local),100 KG,11625.0,3537,58,9724.404683842266,2015-09-06,70,12,4
2014-11-15,Gombe,Sorghum (brown),100 KG,4400.0,3538,45,3086.5335544322134,2015-10-06,80,34,2
2014-11-15,Gombe,Sorghum (white),100 KG,4150.0,3539,49,3309.810851132092,2015-02-19,64,13,3
2014-11-15,Gombe,Yam,100 KG,10250.0,3540,29,9002.885297549112,2015-04-28,50,17,3
2014-11-15,Gombe,Fuel (diesel),L,155.0,3541,31,126.97771732033844,2015-01-04,42,11,1
2014-11-15,Gombe,Fuel (petrol-gasoline),L,97.0,3542,54,87.0318604943501,2015-01-11,60,4,1
2014-11-15,Gombe,Oil (palm),L,6000.0,3543,9,4443.368613801681,2014-12-03,47,37,3
2014-11-15,Gombe,Cowpeas (brown),100 KG,15500.0,3544,62,10983.936835012319,2015-06-20,91,28,0
2014-11-15,Gombe,Cowpeas (white),100 KG,13000.0,3545,87,10180.017901245217,2015-07-28,124,37,3
2014-11-15,Gombe,Groundnuts (shelled),100 KG,14750.0,3546,27,11269.389735037836,2015-05-27,43,12,1
2014-12-15,Gombe,"Cassava meal (gari, yellow)",100 KG,13000.0,3729,84,9905.036251213693,2015-03-02,110,26,0
2014-12-15,Gombe,Gari (white),100 KG,9000.0,3730,51,7995.678715743514,2015-11-29,62,7,3
