timestamp,store_id,sku,unit,unit_price,transaction_id,qty,cost_price,expiry_date,inventory_open,inventory_close,waste_units
2016-12-15,Gujba (Buni Yadi),Maize flour,2.1 KG,275.0,11289,76,241.93321117282088,2017-05-22,104,24,4
2016-12-15,Gujba (Buni Yadi),Millet,2.6 KG,355.0,11290,53,296.0081353091318,2017-07-01,63,7,1
2016-12-15,Gujba (Buni Yadi),Rice (imported),2.8 KG,1142.0,11291,26,807.6765640228065,2017-02-02,67,41,1
2016-12-15,Gujba (Buni Yadi),Rice (local),2.7 KG,685.0,11292,22,517.900488859858,2017-10-17,59,36,1
2016-12-15,Gujba (Buni Yadi),Yam,2.5 KG,423.0,11293,44,380.07938179258366,2017-08-01,72,26,4
2016-12-15,Gujba (Buni Yadi),Eggs,30 pcs,1211.5,11294,39,890.4300417074876,2017-04-24,58,16,1
2016-12-15,Gujba (Buni Yadi),Fish,KG,29.0,11295,15,22.170572921398563,2017-08-07,39,20,2
2016-12-15,Gujba (Buni Yadi),Meat (beef),KG,1058.5,11296,27,855.2306401502638,2017-01-30,49,22,3
2016-12-15,Gujba (Buni Yadi),Meat (goat),KG,1400.0,11297,51,1088.0730088756454,2017-02-07,60,7,4
2016-12-15,Gujba (Buni Yadi),Milk (powder),400 G,900.0,11298,59,704.1907498408632,2017-06-06,102,40,2
2016-12-15,Gujba (Buni Yadi),Oil (palm),L,633.0,11299,9,471.96468634660306,2017-07-24,24,13,0
2016-12-15,Gujba (Buni Yadi),Oil (vegetable),L,577.0,11300,3,442.816551517303,2016-12-31,30,27,0
2016-12-15,Gujba (Buni Yadi),Beans (red),2.5 KG,477.0,11301,65,356.0957183564195,2017-10-30,99,34,3
2016-12-15,Gujba (Buni Yadi),Beans (white),2.5 KG,443.0,11302,33,396.64210580993546,2017-03-12,74,37,1
2016-12-15,Gujba (Buni Yadi),Cowpeas,2.5 KG,573.0,11303,45,407.566099529065,2017-02-24,50,3,0
2016-12-15,Gujba (Buni Yadi),Groundnuts,2.2 KG,587.0,11304,95,454.2137800596365,2017-08-29,123,28,2
2016-12-15,Gujba (Buni Yadi),Bananas,1.3 KG,79.0,11305,49,62.75853344972452,2017-06-01,87,36,2
2016-12-15,Gujba (Buni Yadi),Onions,0.5 KG,63.0,11306,50,49.638058052764976,2017-11-18,66,15,1
2016-12-15,Gujba (Buni Yadi),Oranges,400 G,54.5,11307,70,40.39391033097489,2017-05-10,93,22,0
2016-12-15,Gujba (Buni Yadi),Spinach,300 G,31.5,11308,10,27.64371599369944,2017-05-13,56,46,0
2016-12-15,Gujba (Buni Yadi),Tomatoes,0.5 KG,21.5,11309,71,19.134854886282596,2017-02-25,87,12,0
