timestamp,store_id,sku,unit,unit_price,transaction_id,qty,cost_price,expiry_date,inventory_open,inventory_close,waste_units
2023-06-15,Gwoza Central,Millet,2.6 KG,700.0,66833,15,563.9271418753268,2023-09-17,47,30,4
2023-06-15,Gwoza Central,Rice (imported),2.8 KG,2300.0,66834,36,1842.272379653983,2023-09-17,38,0,0
2023-06-15,Gwoza Central,Rice (local),2.7 KG,2000.0,66835,78,1738.3182577224904,2024-06-10,87,9,3
2023-06-15,Gwoza Central,Sorghum,2.7 KG,750.0,66836,89,565.9141527612925,2024-03-21,110,17,0
2023-06-15,Gwoza Central,Yam,2.5 KG,1000.0,66837,94,751.8401372725408,2024-01-31,141,47,0
2023-06-15,Gwoza Central,Eggs,30 pcs,2800.0,66838,24,2230.037942553199,2023-07-01,64,39,4
2023-06-15,Gwoza Central,Fish,KG,300.0,66839,89,256.17696934605044,2024-01-16,106,17,3
2023-06-15,Gwoza Central,Meat (beef),KG,3500.0,66840,51,3070.137893505379,2024-05-23,82,30,4
2023-06-15,Gwoza Central,Meat (goat),KG,4000.0,66841,96,3302.5796949959613,2023-12-04,139,42,1
2023-06-15,Gwoza Central,Milk (powder),400 G,2500.0,66842,58,2057.8367614757763,2023-12-24,65,4,2
2023-06-15,Gwoza Central,Salt,250 G,65.0,66843,29,47.4446163945095,2023-09-03,74,43,0
2023-06-15,Gwoza Central,Sugar,500 G,500.0,66844,4,437.1711632547344,2023-07-05,20,16,0
2023-06-15,Gwoza Central,Oil (palm),L,1200.0,66845,1,856.5826804802782,2023-10-23,4,0,1
2023-06-15,Gwoza Central,Oil (vegetable),L,1200.0,66846,99,1007.4806967043493,2023-09-13,130,30,3
2023-06-15,Gwoza Central,Beans (red),2.5 KG,1000.0,66847,84,832.7837680141376,2024-05-05,107,22,2
2023-06-15,Gwoza Central,Beans (white),2.5 KG,1000.0,66848,79,722.3378302228795,2024-02-17,93,12,2
2023-06-15,Gwoza Central,Cowpeas,2.5 KG,1000.0,66849,76,733.1023669036903,2024-03-26,119,39,2
2023-06-15,Gwoza Central,Groundnuts,2.2 KG,2200.0,66850,65,1755.1800531954148,2024-03-21,66,0,4
2023-06-15,Gwoza Central,Bananas,1.3 KG,500.0,66851,2,386.33851214081983,2023-08-22,10,4,4
2023-06-15,Gwoza Central,Onions,0.5 KG,100.0,66852,81,80.23728088532283,2023-10-14,108,27,1
2023-06-15,Gwoza Central,Oranges,400 G,100.0,66853,80,76.94216345840725,2024-05-24,90,10,3
2023-06-15,Gwoza Central,Spinach,300 G,200.0,66854,65,169.4087669133116,2023-10-31,68,0,0
2023-06-15,Gwoza Central,Tomatoes,0.5 KG,200.0,66855,35,151.12986314650811,2024-03-30,77,42,4
2023-06-15,Gwoza Central,Watermelons,2.1 KG,1000.0,66856,45,700.6704773782313,2023-09-24,79,33,1
2023-07-15,Gwoza Central,Millet,2.6 KG,697.06,67161,22,550.332795658418,2024-04-29,39,13,2
2023-07-15,Gwoza Central,Rice (imported),2.8 KG,2430.0,67162,70,2065.6654992283416,2023-09-23,94,24,0
2023-07-15,Gwoza Central,Rice (local),2.7 KG,1817.65,67163,21,1363.695938627938,2024-03-15,54,29,1
2023-07-15,Gwoza Central,Sorghum,2.7 KG,876.47,67164,47,770.6152109279021,2024-06-23,60,10,1
2023-07-15,Gwoza Central,Yam,2.5 KG,1000.0,67165,3,855.8252234454948,2024-01-14,20,15,1
2023-07-15,Gwoza Central,Eggs,30 pcs,2711.76,67166,37,2191.6100723293293,2023-12-10,70,31,3
2023-07-15,Gwoza Central,Fish,KG,300.0,67167,11,247.74285941700333,2024-01-11,12,0,0
2023-07-15,Gwoza Central,Meat (beef),KG,3058.82,67168,94,2566.736282626545,2024-02-01,122,25,1
2023-07-15,Gwoza Central,Meat (goat),KG,3305.88,67169,83,2767.933527226307,2024-07-03,120,37,0
2023-07-15,Gwoza Central,Milk (powder),400 G,2664.71,67170,73,2223.75365071364,2024-06-22,86,9,2
2023-07-15,Gwoza Central,Salt,250 G,114.41,67171,59,81.82832647178448,2024-01-29,67,4,4
2023-07-15,Gwoza Central,Sugar,500 G,500.0,67172,78,449.06770869562183,2024-04-04,96,14,1
2023-07-15,Gwoza Central,Oil (palm),L,1200.0,67173,13,977.4840187664673,2024-05-24,32,15,0
2023-07-15,Gwoza Central,Oil (vegetable),L,1223.53,67174,93,1031.0368772622894,2024-04-19,96,0,0
