timestamp,store_id,sku,unit,unit_price,transaction_id,qty,cost_price,expiry_date,inventory_open,inventory_close,waste_units
2010-09-15,Ibadan,Maize (white),100 KG,4500.0,1309,31,3707.0090473000064,2010-12-31,68,37,0
2010-10-15,Ibadan,Maize (white),100 KG,4500.0,1333,62,3253.255657071982,2010-10-23,73,10,4
2010-11-15,Ibadan,Maize (white),100 KG,4500.0,1357,16,3190.6625871380998,2011-08-06,57,41,3
2011-09-15,Ibadan,Maize (white),100 KG,5500.0,1586,20,4642.062431452544,2011-11-08,36,15,4
2011-10-15,Ibadan,Maize (white),100 KG,5500.0,1609,31,4357.326720601967,2012-07-15,53,21,1
2012-05-15,Ibadan,Maize (white),100 KG,6500.0,1771,91,4837.452827849903,2012-10-16,115,23,2
2012-05-15,Ibadan,Rice (imported),50 KG,8420.0,1772,36,6190.511718684293,2013-01-03,63,26,3
2012-05-15,Ibadan,Sorghum (white),100 KG,6500.0,1773,41,5490.250635950959,2013-05-12,69,26,2
2012-06-15,Ibadan,Maize (white),100 KG,6775.0,1787,85,5856.074296843446,2012-09-05,114,29,1
2012-06-15,Ibadan,Rice (imported),50 KG,8300.0,1788,13,7318.716698529468,2013-04-09,23,6,3
2012-06-15,Ibadan,Sorghum (white),100 KG,6650.0,1789,31,5824.871489890363,2012-07-05,67,32,2
2012-07-15,Ibadan,Maize (white),100 KG,7000.0,1815,63,5039.495796374572,2013-06-09,80,16,2
2012-07-15,Ibadan,Rice (imported),50 KG,8350.0,1816,6,6479.378496805177,2013-04-06,37,31,3
2012-07-15,Ibadan,Sorghum (white),100 KG,7250.0,1817,54,5233.716287879315,2012-07-29,70,13,4
2012-08-15,Ibadan,Maize (white),100 KG,7000.0,1847,94,6043.724890874485,2013-07-24,118,23,4
2012-08-15,Ibadan,Rice (imported),50 KG,8400.0,1848,46,7353.689693225028,2012-09-08,48,0,4
2012-08-15,Ibadan,Sorghum (white),100 KG,7400.0,1849,28,6403.134795524704,2013-05-20,44,16,2
2012-09-15,Ibadan,Maize (white),100 KG,6850.0,1880,61,5323.841480116715,2013-06-01,90,27,4
2012-09-15,Ibadan,Rice (imported),50 KG,8358.33,1881,8,6588.388016442694,2013-07-01,12,4,1
2012-09-15,Ibadan,Sorghum (white),100 KG,7400.0,1882,33,5280.946940168881,2013-02-09,69,32,3
