timestamp,store_id,sku,unit,unit_price,transaction_id,qty,cost_price,expiry_date,inventory_open,inventory_close,waste_units
2002-01-15,Illela (CBM),Maize,KG,153.35,5,24,129.9292716660398,2002-11-18,52,25,3
2002-01-15,Illela (CBM),Millet,KG,146.95,6,22,120.41036451219982,2002-07-04,36,10,4
2002-01-15,Illela (CBM),Rice (imported),KG,337.59,7,25,252.8164304983973,2002-06-03,52,25,0
2002-01-15,Illela (CBM),Sorghum,KG,141.5,8,86,116.85039719966451,2002-05-20,101,13,1
2002-01-15,Illela (CBM),Beans (niebe),KG,239.07,9,35,210.48860748560608,2002-03-02,45,9,3
2002-03-15,Illela (CBM),Maize,KG,171.25,20,43,140.87463343464637,2002-07-06,59,15,0
2002-03-15,Illela (CBM),Millet,KG,182.36,21,62,156.4448209412188,2002-08-29,104,42,0
2002-03-15,Illela (CBM),Rice (imported),KG,345.36,22,99,256.17482943445987,2002-12-05,111,11,4
2002-03-15,Illela (CBM),Sorghum,KG,174.02,23,73,136.66768858345753,2002-06-06,121,48,2
2002-04-15,Illela (CBM),Maize,KG,188.37,29,78,134.55287986836487,2002-07-05,81,3,3
2002-04-15,Illela (CBM),Millet,KG,189.76,30,6,153.89766018888517,2003-02-13,23,13,2
2002-04-15,Illela (CBM),Rice (imported),KG,357.34,31,37,285.5664167520859,2002-05-02,53,13,3
2002-04-15,Illela (CBM),Sorghum,KG,185.59,32,89,130.64719824483626,2002-11-30,94,2,3
2002-04-15,Illela (CBM),Beans (niebe),KG,415.52,33,65,362.7367095182757,2002-05-19,68,1,1
2002-05-15,Illela (CBM),Maize,KG,189.04,39,33,160.19495061423612,2002-12-02,51,16,2
2002-05-15,Illela (CBM),Millet,KG,191.74,40,44,152.7683505580307,2002-07-11,75,30,2
2002-05-15,Illela (CBM),Rice (imported),KG,353.53,41,33,254.25679313740957,2003-04-04,76,42,2
2002-05-15,Illela (CBM),Sorghum,KG,186.26,42,68,147.43013126981478,2002-08-16,82,13,3
2002-05-15,Illela (CBM),Beans (niebe),KG,419.14,43,51,367.05527950330384,2002-11-04,56,4,4
2002-06-15,Illela (CBM),Maize,KG,187.82,49,31,163.60073604690507,2002-10-21,42,9,1
2002-06-15,Illela (CBM),Millet,KG,193.11,50,39,169.08441506890566,2002-08-05,69,26,2
2002-06-15,Illela (CBM),Rice (imported),KG,343.93,51,73,256.8441292002986,2002-12-22,92,17,4
2002-06-15,Illela (CBM),Sorghum,KG,191.8,52,56,151.04773718732062,2003-03-17,82,25,2
2002-06-15,Illela (CBM),Beans (niebe),KG,412.71,53,81,354.2262374578023,2002-09-18,86,5,4
2002-07-15,Illela (CBM),Maize,KG,229.08,59,16,177.19199223486677,2002-12-20,60,41,4
2002-07-15,Illela (CBM),Millet,KG,231.71,60,99,172.5410929810122,2002-08-21,118,17,3
2002-07-15,Illela (CBM),Rice (imported),KG,345.1,61,61,308.2925360246291,2003-07-12,104,40,4
2002-07-15,Illela (CBM),Sorghum,KG,229.14,62,82,193.4008622518289,2002-09-30,96,11,1
2002-07-15,Illela (CBM),Beans (niebe),KG,406.29,63,95,347.3110261145469,2003-06-29,95,0,0
2002-08-15,Illela (CBM),Maize,KG,204.99,69,52,179.53368044106995,2002-09-13,97,45,2
2002-08-15,Illela (CBM),Millet,KG,207.49,70,31,173.38006062902053,2003-04-26,36,1,0
2002-08-15,Illela (CBM),Rice (imported),KG,322.14,71,45,230.8161997264956,2002-09-03,88,40,3
2002-08-15,Illela (CBM),Sorghum,KG,204.11,72,76,181.7928728719121,2002-12-07,77,0,2
2002-08-15,Illela (CBM),Beans (niebe),KG,372.76,73,38,281.7431770606137,2003-04-06,57,15,4
2002-09-15,Illela (CBM),Maize,KG,133.06,79,51,94.59286398945062,2002-12-14,87,36,1
2002-09-15,Illela (CBM),Millet,KG,129.37,80,75,100.13338780220657,2003-05-06,101,26,4
2002-09-15,Illela (CBM),Rice (imported),KG,266.19,81,29,237.5999452663727,2002-10-05,70,39,0
2002-09-15,Illela (CBM),Sorghum,KG,130.61,82,97,99.82427821538519,2002-10-10,110,11,0
