timestamp,store_id,sku,unit,unit_price,transaction_id,qty,cost_price,expiry_date,inventory_open,inventory_close,waste_units
2002-01-15,Jibia (CBM),Maize,KG,175.92,0,88,154.13965441991894,2002-10-13,97,7,4
2002-01-15,Jibia (CBM),Millet,KG,150.18,1,27,128.37206245946143,2002-11-22,68,38,0
2002-01-15,Jibia (CBM),Rice (imported),KG,358.7,2,68,302.8697371758133,2002-06-03,97,26,1
2002-01-15,Jibia (CBM),Sorghum,KG,155.61,3,2,125.94505888481982,2002-02-03,20,18,3
2002-01-15,Jibia (CBM),Beans (niebe),KG,196.87,4,14,155.26384216572072,2002-09-19,30,16,2
2002-02-15,Jibia (CBM),Maize,KG,169.76,10,1,146.3696320399015,2002-08-24,21,17,2
2002-02-15,Jibia (CBM),Millet,KG,148.54,11,61,112.1062937013814,2002-09-05,69,6,2
2002-02-15,Jibia (CBM),Rice (imported),KG,381.97,12,54,295.69076815219387,2002-12-03,57,2,3
2002-02-15,Jibia (CBM),Sorghum,KG,159.15,13,2,112.98252158471611,2002-05-10,27,25,3
2002-02-15,Jibia (CBM),Beans (niebe),KG,201.59,14,71,148.65997564885674,2002-03-21,91,17,4
2002-03-15,Jibia (CBM),Maize,KG,181.94,15,32,149.06347742848916,2002-11-24,47,15,4
2002-03-15,Jibia (CBM),Millet,KG,175.0,16,64,125.87171927914854,2002-09-08,87,23,3
2002-03-15,Jibia (CBM),Rice (imported),KG,361.11,17,81,292.1543009069085,2002-07-05,127,44,0
2002-03-15,Jibia (CBM),Sorghum,KG,172.22,18,44,127.1644055955579,2002-10-19,48,0,3
2002-03-15,Jibia (CBM),Beans (niebe),KG,233.33,19,47,181.88146251442157,2002-06-01,79,31,1
2002-04-15,Jibia (CBM),Maize,KG,190.22,24,16,134.33391138582095,2003-03-02,53,34,4
2002-04-15,Jibia (CBM),Millet,KG,187.5,25,22,160.98313910084198,2003-03-12,45,20,3
2002-04-15,Jibia (CBM),Rice (imported),KG,331.52,26,79,276.61785588791093,2003-03-28,126,45,0
2002-04-15,Jibia (CBM),Sorghum,KG,184.78,27,26,136.0575670102514,2002-08-18,48,20,0
2002-04-15,Jibia (CBM),Beans (niebe),KG,244.57,28,83,189.06037943482994,2002-06-02,91,4,1
2002-05-15,Jibia (CBM),Maize,KG,208.67,34,26,164.59981354621704,2003-01-09,63,33,3
2002-05-15,Jibia (CBM),Millet,KG,195.12,35,87,175.42595633893018,2003-04-06,93,5,1
2002-05-15,Jibia (CBM),Rice (imported),KG,349.59,36,14,282.74477073787835,2002-07-16,24,10,2
2002-05-15,Jibia (CBM),Sorghum,KG,195.12,37,32,171.31956234286935,2002-11-08,47,12,1
2002-05-15,Jibia (CBM),Beans (niebe),KG,242.53,38,37,190.03415959494433,2003-05-05,86,46,0
2002-06-15,Jibia (CBM),Maize,KG,222.26,44,23,180.69045531916487,2002-12-23,45,19,1
2002-06-15,Jibia (CBM),Millet,KG,216.97,45,39,184.78879352722976,2003-02-12,44,2,0
2002-06-15,Jibia (CBM),Rice (imported),KG,306.89,46,39,266.6325738112567,2002-07-27,53,12,1
2002-06-15,Jibia (CBM),Sorghum,KG,212.99,47,20,162.94474947060337,2002-11-01,54,34,3
2002-06-15,Jibia (CBM),Beans (niebe),KG,269.88,48,3,199.82961147035815,2002-08-14,46,41,2
2002-07-15,Jibia (CBM),Maize,KG,233.48,54,92,199.64173410418329,2002-11-20,92,0,4
2002-07-15,Jibia (CBM),Millet,KG,233.42,55,94,201.32463060434793,2002-09-08,120,23,1
2002-07-15,Jibia (CBM),Rice (imported),KG,294.45,56,77,254.8976095774354,2003-03-27,78,0,3
2002-07-15,Jibia (CBM),Sorghum,KG,230.86,57,74,187.33338117559882,2003-05-23,82,4,2
2002-07-15,Jibia (CBM),Beans (niebe),KG,269.11,58,22,224.99988994411598,2002-11-13,64,38,4
2002-08-15,Jibia (CBM),Maize,KG,216.45,64,84,169.97424511545282,2003-01-23,125,41,4
2002-08-15,Jibia (CBM),Millet,KG,219.81,65,80,177.7641267520377,2002-10-07,111,30,3
2002-08-15,Jibia (CBM),Rice (imported),KG,276.85,66,52,219.21631042628806,2002-12-27,80,26,3
2002-08-15,Jibia (CBM),Sorghum,KG,219.81,67,4,158.75657727925935,2002-09-15,28,24,2
2002-08-15,Jibia (CBM),Beans (niebe),KG,241.63,68,46,197.8235676561679,2003-03-15,79,29,2
2002-09-15,Jibia (CBM),Maize,KG,135.46,74,81,111.6803562427901,2003-08-27,126,44,0
2002-09-15,Jibia (CBM),Millet,KG,141.68,75,41,114.6026352095955,2003-01-29,45,3,1
2002-09-15,Jibia (CBM),Rice (imported),KG,288.51,76,47,223.535367891509,2002-10-26,65,17,1
2002-09-15,Jibia (CBM),Sorghum,KG,163.37,77,10,145.49801509304638,2003-01-17,48,37,1
2002-09-15,Jibia (CBM),Beans (niebe),KG,171.56,78,8,121.52617177694782,2003-04-21,36,25,0
