timestamp,store_id,sku,unit,unit_price,transaction_id,qty,cost_price,expiry_date,inventory_open,inventory_close,waste_units
2023-06-15,Kashuwan Shanu,Maize flour,2.1 KG,800.0,66995,22,619.1275443878817,2024-03-11,31,8,4
2023-06-15,Kashuwan Shanu,Rice (imported),2.8 KG,2800.0,66996,61,2287.357472250342,2024-04-04,103,39,2
2023-06-15,Kashuwan Shanu,Rice (local),2.7 KG,2000.0,66997,63,1428.7006231121075,2023-08-19,81,17,0
2023-06-15,Kashuwan Shanu,Yam,2.5 KG,1000.0,66998,55,740.1315622536188,2023-09-08,92,33,0
2023-06-15,Kashuwan Shanu,Eggs,30 pcs,2400.0,66999,67,1747.563388397549,2023-07-31,99,30,1
2023-06-15,Kashuwan Shanu,Fish,KG,600.0,67000,51,444.3227675091603,2024-03-19,73,18,2
2023-06-15,Kashuwan Shanu,Meat (beef),KG,3000.0,67001,64,2214.4668735286955,2023-08-08,110,44,4
2023-06-15,Kashuwan Shanu,Meat (goat),KG,3000.0,67002,92,2231.811915331487,2024-02-15,122,26,1
2023-06-15,Kashuwan Shanu,Salt,250 G,75.0,67003,84,57.721846125921466,2024-03-22,128,41,2
2023-06-15,Kashuwan Shanu,Sugar,500 G,560.0,67004,6,429.8819623399088,2023-09-02,35,28,2
2023-06-15,Kashuwan Shanu,Oil (palm),L,1300.0,67005,82,958.8952158378291,2024-02-11,95,12,0
2023-06-15,Kashuwan Shanu,Oil (vegetable),L,1600.0,67006,70,1123.526553906043,2023-11-29,119,49,0
2023-06-15,Kashuwan Shanu,Beans (red),2.5 KG,1600.0,67007,96,1190.3511927139152,2024-02-15,96,0,1
2023-06-15,Kashuwan Shanu,Beans (white),2.5 KG,1600.0,67008,69,1425.4529370683024,2023-12-30,86,13,3
2023-06-15,Kashuwan Shanu,Groundnuts,2.2 KG,2000.0,67009,62,1507.1704740401804,2023-12-30,76,10,0
2023-06-15,Kashuwan Shanu,Bananas,1.3 KG,300.0,67010,5,267.9310859908373,2024-01-24,33,24,3
2023-06-15,Kashuwan Shanu,Onions,0.5 KG,150.0,67011,18,109.9452116389374,2023-12-05,62,41,0
2023-06-15,Kashuwan Shanu,Oranges,400 G,100.0,67012,72,72.70635696858892,2024-03-08,83,7,2
2023-06-15,Kashuwan Shanu,Spinach,300 G,50.0,67013,29,35.66623394592805,2024-01-29,62,30,4
2023-06-15,Kashuwan Shanu,Tomatoes,0.5 KG,150.0,67014,79,106.94619371513342,2024-04-06,94,13,1
2023-06-15,Kashuwan Shanu,Watermelons,2.1 KG,400.0,67015,98,318.55731612000585,2023-12-27,109,8,3
2023-07-15,Kashuwan Shanu,Maize flour,2.1 KG,993.55,67470,88,723.0249340135251,2024-04-19,91,0,1
2023-07-15,Kashuwan Shanu,Rice (imported),2.8 KG,2887.5,67471,3,2571.167923094922,2023-11-20,9,5,2
2023-07-15,Kashuwan Shanu,Rice (local),2.7 KG,2074.19,67472,94,1809.7558018881064,2023-12-03,107,13,4
2023-07-15,Kashuwan Shanu,Yam,2.5 KG,1269.35,67473,8,920.2650242580962,2024-05-17,40,31,4
2023-07-15,Kashuwan Shanu,Eggs,30 pcs,2961.29,67474,56,2410.406512842909,2023-11-10,62,5,2
2023-07-15,Kashuwan Shanu,Fish,KG,600.0,67475,9,423.6979681328011,2024-06-25,44,32,0
2023-07-15,Kashuwan Shanu,Meat (beef),KG,3000.0,67476,63,2134.0497603775775,2023-09-12,71,7,3
2023-07-15,Kashuwan Shanu,Meat (goat),KG,3000.0,67477,51,2622.3463107989755,2024-05-04,98,45,1
2023-07-15,Kashuwan Shanu,Salt,250 G,75.0,67478,40,60.432470688387376,2024-02-27,42,0,0
2023-07-15,Kashuwan Shanu,Sugar,500 G,579.35,67479,3,453.89792661939344,2023-12-10,34,29,4
2023-07-15,Kashuwan Shanu,Oil (palm),L,1300.0,67480,20,1013.0441119550702,2024-07-09,46,24,3
2023-07-15,Kashuwan Shanu,Oil (vegetable),L,1566.13,67481,2,1369.922806894148,2023-11-01,51,48,1
2023-07-15,Kashuwan Shanu,Beans (red),2.5 KG,1651.61,67482,28,1399.663579061344,2023-08-18,67,36,4
2023-07-15,Kashuwan Shanu,Beans (white),2.5 KG,1651.61,67483,95,1395.7090106931576,2024-06-27,98,0,4
2023-07-15,Kashuwan Shanu,Groundnuts,2.2 KG,2093.55,67484,90,1859.4294732632895,2024-04-04,115,23,4
2023-07-15,Kashuwan Shanu,Bananas,1.3 KG,317.5,67485,30,267.82614219044393,2024-04-04,54,21,0
2023-07-15,Kashuwan Shanu,Onions,0.5 KG,150.0,67486,35,121.56126620942821,2024-04-18,79,43,4
2023-07-15,Kashuwan Shanu,Oranges,400 G,100.0,67487,35,75.20129452326712,2024-03-25,56,18,4
2023-07-15,Kashuwan Shanu,Spinach,300 G,50.0,67488,50,40.33116317969271,2024-03-20,52,0,0
2023-07-15,Kashuwan Shanu,Tomatoes,0.5 KG,144.35,67489,41,116.25612610265424,2024-05-11,49,8,3
2023-07-15,Kashuwan Shanu,Watermelons,2.1 KG,400.0,67490,9,319.50748434213375,2023-09-06,29,16,4
2023-08-15,Kashuwan Shanu,Maize flour,2.1 KG,1258.06,68068,92,917.7320417656864,2024-08-09,106,13,2
2023-08-15,Kashuwan Shanu,Rice (local),2.7 KG,2396.77,68069,11,1857.0856863894892,2024-03-30,32,19,2
