timestamp,store_id,sku,unit,unit_price,transaction_id,qty,cost_price,expiry_date,inventory_open,inventory_close,waste_units
2016-06-15,Kusawam Shanu,Maize flour,2.1 KG,328.0,8520,65,235.06033464868995,2017-01-13,89,21,0
2016-06-15,Kusawam Shanu,Millet,2.6 KG,210.0,8521,65,157.73122859939625,2016-09-24,99,32,3
2016-06-15,Kusawam Shanu,Rice (imported),2.8 KG,1000.0,8522,64,858.422747484449,2017-01-15,66,1,4
2016-06-15,Kusawam Shanu,Rice (local),2.7 KG,777.0,8523,47,593.4578867911476,2016-08-02,93,45,3
2016-06-15,Kusawam Shanu,Yam,2.5 KG,270.0,8524,27,191.81785078855813,2016-08-14,54,27,0
2016-06-15,Kusawam Shanu,Fish,KG,82.0,8525,57,59.85051874024386,2017-02-06,85,26,2
2016-06-15,Kusawam Shanu,Meat (beef),KG,950.0,8526,15,728.0024658584928,2016-11-15,49,31,1
2016-06-15,Kusawam Shanu,Meat (goat),KG,966.7,8527,11,755.3486030802418,2016-10-10,44,29,1
2016-06-15,Kusawam Shanu,Milk (powder),400 G,300.0,8528,41,214.5935831170973,2017-02-20,50,8,0
2016-06-15,Kusawam Shanu,Oil (palm),L,298.0,8529,90,247.6944037184998,2016-08-07,115,22,4
2016-06-15,Kusawam Shanu,Oil (vegetable),L,382.0,8530,91,321.7991154074838,2017-01-20,116,25,3
2016-06-15,Kusawam Shanu,Beans (red),2.5 KG,571.0,8531,73,454.7849847034289,2016-08-12,81,5,0
2016-06-15,Kusawam Shanu,Beans (white),2.5 KG,525.0,8532,85,434.9644030055505,2017-01-14,108,23,1
2016-06-15,Kusawam Shanu,Groundnuts,2.2 KG,534.0,8533,9,430.3498680776719,2017-02-28,17,7,3
2016-06-15,Kusawam Shanu,Onions,0.5 KG,106.7,8534,76,88.31969612003742,2016-12-17,79,1,3
2016-07-15,Kusawam Shanu,Maize flour,2.1 KG,388.0,8907,42,273.4368806289613,2016-09-11,62,18,4
2016-07-15,Kusawam Shanu,Rice (imported),2.8 KG,1000.0,8908,96,773.3105262269224,2016-12-22,115,19,0
2016-07-15,Kusawam Shanu,Rice (local),2.7 KG,766.0,8909,28,573.6072525947174,2016-09-05,32,1,4
2016-07-15,Kusawam Shanu,Yam,2.5 KG,318.0,8910,49,269.83332959853914,2016-09-12,52,0,1
2016-07-15,Kusawam Shanu,Eggs,30 pcs,966.7,8911,25,833.4211087726396,2016-09-21,52,23,0
2016-07-15,Kusawam Shanu,Fish,KG,67.0,8912,33,50.863574999669886,2016-07-27,56,23,0
2016-07-15,Kusawam Shanu,Meat (beef),KG,1000.0,8913,83,710.2579410849493,2016-12-14,115,32,3
2016-07-15,Kusawam Shanu,Meat (goat),KG,1133.3,8914,49,996.1027386258855,2016-09-06,66,15,1
2016-07-15,Kusawam Shanu,Milk (powder),400 G,400.0,8915,38,282.74358555915484,2017-01-28,39,0,4
2016-07-15,Kusawam Shanu,Oil (palm),L,373.0,8916,20,329.1308235067988,2017-01-14,54,34,4
2016-07-15,Kusawam Shanu,Oil (vegetable),L,400.0,8917,47,303.9540612806981,2017-07-05,60,10,2
2016-07-15,Kusawam Shanu,Beans (red),2.5 KG,577.0,8918,67,404.802938728239,2017-05-07,112,45,4
2016-07-15,Kusawam Shanu,Beans (white),2.5 KG,706.0,8919,93,550.8599128709848,2016-12-12,113,18,0
2016-07-15,Kusawam Shanu,Groundnuts,2.2 KG,700.0,8920,72,622.0040960758702,2017-06-17,81,6,4
2016-07-15,Kusawam Shanu,Onions,0.5 KG,50.0,8921,2,38.17811914647007,2017-03-03,43,41,4
2016-08-15,Kusawam Shanu,Maize flour,2.1 KG,444.0,9312,53,369.3141783395925,2016-09-01,79,23,3
2016-08-15,Kusawam Shanu,Rice (imported),2.8 KG,1080.0,9313,60,766.3207729734314,2017-06-27,79,17,0
2016-08-15,Kusawam Shanu,Rice (local),2.7 KG,849.0,9314,13,627.9483340901619,2017-05-16,49,36,2
2016-08-15,Kusawam Shanu,Eggs,30 pcs,875.0,9315,9,745.9518963380192,2017-03-30,12,0,2
2016-08-15,Kusawam Shanu,Meat (beef),KG,900.0,9316,85,637.4442443002715,2016-10-25,87,0,4
2016-08-15,Kusawam Shanu,Meat (goat),KG,1000.0,9317,44,723.3853638056185,2017-02-02,83,36,1
2016-08-15,Kusawam Shanu,Milk (powder),400 G,700.0,9318,32,492.19885764944763,2016-10-10,40,8,1
2016-08-15,Kusawam Shanu,Oil (palm),L,420.0,9319,57,331.00896914674377,2017-07-04,73,16,2
2016-08-15,Kusawam Shanu,Oil (vegetable),L,400.0,9320,76,329.6908640060659,2016-11-20,112,33,1
2016-08-15,Kusawam Shanu,Beans (red),2.5 KG,673.0,9321,9,530.372413079882,2017-05-23,54,43,4
2016-08-15,Kusawam Shanu,Groundnuts,2.2 KG,650.0,9322,20,540.6088243082489,2017-06-20,41,17,2
2016-08-15,Kusawam Shanu,Bananas,1.3 KG,300.0,9323,87,269.0969811103084,2017-04-13,131,40,4
2016-08-15,Kusawam Shanu,Onions,0.5 KG,50.0,9324,49,35.40174796511809,2016-09-21,72,20,3
2016-08-15,Kusawam Shanu,Oranges,400 G,83.3,9325,92,72.77805059105,2017-06-27,99,4,1
2016-08-15,Kusawam Shanu,Spinach,300 G,20.0,9326,82,17.745827351416036,2016-09-21,102,16,2
2016-08-15,Kusawam Shanu,Watermelons,2.1 KG,300.0,9327,15,210.87852032762052,2016-09-18,32,17,2
2016-09-15,Kusawam Shanu,Maize flour,2.1 KG,372.0,9721,93,318.45193274138575,2017-03-14,115,19,4
2016-09-15,Kusawam Shanu,Rice (imported),2.8 KG,1200.0,9722,41,1033.236006030417,2017-09-12,85,42,4
2016-09-15,Kusawam Shanu,Rice (local),2.7 KG,810.0,9723,44,590.9461248551469,2016-12-10,91,46,4
2016-09-15,Kusawam Shanu,Eggs,30 pcs,775.0,9724,45,614.018507824413,2017-07-20,57,11,1
2016-09-15,Kusawam Shanu,Meat (beef),KG,950.0,9725,13,780.2998599202773,2017-08-09,19,2,2
2016-09-15,Kusawam Shanu,Meat (goat),KG,1100.0,9726,94,812.7186934429228,2017-08-12,115,17,0
2016-09-15,Kusawam Shanu,Milk (powder),400 G,600.0,9727,25,531.5634232877653,2017-01-21,28,1,1
2016-09-15,Kusawam Shanu,Oil (palm),L,467.0,9728,76,327.0557207969116,2017-09-13,107,27,2
2016-09-15,Kusawam Shanu,Oil (vegetable),L,487.0,9729,70,415.33328493568405,2017-03-20,88,16,4
2016-09-15,Kusawam Shanu,Beans (red),2.5 KG,625.0,9730,54,478.601576919515,2017-04-21,69,15,2
2016-09-15,Kusawam Shanu,Beans (white),2.5 KG,769.0,9731,42,611.2438219223129,2016-10-01,63,17,4
2016-09-15,Kusawam Shanu,Groundnuts,2.2 KG,700.0,9732,63,536.9630681181462,2017-08-16,96,33,1
2016-09-15,Kusawam Shanu,Bananas,1.3 KG,250.0,9733,61,196.46254119906763,2016-10-07,104,40,0
2016-09-15,Kusawam Shanu,Onions,0.5 KG,100.0,9734,21,84.49415209969162,2017-04-20,39,18,2
2016-09-15,Kusawam Shanu,Oranges,400 G,50.0,9735,53,38.53994026748953,2017-01-01,88,33,0
2016-09-15,Kusawam Shanu,Spinach,300 G,10.0,9736,60,8.950957217692215,2017-02-11,106,46,3
2016-09-15,Kusawam Shanu,Watermelons,2.1 KG,200.0,9737,42,159.65717776022177,2017-05-01,75,30,0
2016-10-15,Kusawam Shanu,Maize flour,2.1 KG,355.0,10134,99,276.12015480679617,2017-06-09,105,6,4
2016-10-15,Kusawam Shanu,Rice (imported),2.8 KG,1126.0,10135,21,850.6775933433911,2017-10-04,21,0,4
2016-10-15,Kusawam Shanu,Rice (local),2.7 KG,771.0,10136,55,616.1031876980398,2017-07-03,61,2,1
2016-10-15,Kusawam Shanu,Eggs,30 pcs,875.0,10137,50,736.1390286479987,2016-11-22,95,41,4
2016-10-15,Kusawam Shanu,Meat (beef),KG,1000.0,10138,98,781.9157540087334,2017-03-05,122,21,3
2016-10-15,Kusawam Shanu,Meat (goat),KG,1125.0,10139,46,880.050198075479,2017-04-14,54,7,0
2016-10-15,Kusawam Shanu,Milk (powder),400 G,900.0,10140,43,677.8900123397724,2017-07-10,43,0,4
