timestamp,store_id,sku,unit,unit_price,transaction_id,qty,cost_price,expiry_date,inventory_open,inventory_close,waste_units
2023-07-15,Machina Central,Maize flour,2.1 KG,1200.0,67611,83,932.7081072450028,2024-01-09,130,46,3
2023-07-15,Machina Central,Millet,2.6 KG,1200.0,67612,60,949.5967649172513,2024-01-05,85,21,2
2023-07-15,Machina Central,Rice (imported),2.8 KG,2200.0,67613,52,1546.1241456464488,2023-09-30,95,42,4
2023-07-15,Machina Central,Rice (local),2.7 KG,1700.0,67614,73,1291.2524437751558,2024-03-22,96,20,2
2023-07-15,Machina Central,Sorghum,2.7 KG,1100.0,67615,59,838.8640900142912,2023-08-14,92,31,3
2023-07-15,Machina Central,Yam,2.5 KG,1500.0,67616,69,1163.1517714235786,2024-03-30,98,28,3
2023-07-15,Machina Central,Eggs,30 pcs,2400.0,67617,33,1873.3958125097065,2023-10-18,49,15,2
2023-07-15,Machina Central,Fish,KG,417.0,67618,77,334.96439883970675,2024-01-12,98,17,1
2023-07-15,Machina Central,Meat (beef),KG,1800.0,67619,11,1546.7048242875194,2023-09-24,30,18,0
2023-07-15,Machina Central,Meat (goat),KG,2000.0,67620,32,1610.9495436293466,2024-02-10,76,42,4
2023-07-15,Machina Central,Milk (powder),400 G,2400.0,67621,57,1992.4326534024963,2024-02-18,89,31,1
2023-07-15,Machina Central,Salt,250 G,125.0,67622,1,110.62139859966447,2024-04-22,15,12,3
2023-07-15,Machina Central,Sugar,500 G,520.0,67623,59,396.4703811171647,2023-11-30,104,45,1
2023-07-15,Machina Central,Oil (palm),L,1200.0,67624,47,988.020083206303,2024-06-05,56,9,2
2023-07-15,Machina Central,Oil (vegetable),L,1200.0,67625,91,1013.848153514221,2024-01-19,104,10,2
2023-07-15,Machina Central,Beans (red),2.5 KG,1300.0,67626,89,1063.822113366876,2023-08-14,98,6,0
2023-07-15,Machina Central,Beans (white),2.5 KG,1300.0,67627,72,1054.3266789978977,2023-12-26,81,9,0
2023-07-15,Machina Central,Cowpeas,2.5 KG,1300.0,67628,44,912.3480874254658,2023-08-09,52,6,3
2023-07-15,Machina Central,Onions,0.5 KG,300.0,67629,5,225.69076073072225,2023-09-30,42,35,0
2023-07-15,Machina Central,Oranges,400 G,200.0,67630,44,146.5768740653668,2024-06-29,47,1,3
2023-07-15,Machina Central,Watermelons,2.1 KG,300.0,67631,25,247.76151555355395,2024-02-13,48,22,0
2023-08-15,Machina Central,Maize flour,2.1 KG,1235.0,68208,70,1085.2441170185298,2024-05-01,79,9,1
2023-08-15,Machina Central,Millet,2.6 KG,1147.5,68209,63,1009.9808002005968,2024-07-04,97,34,1
2023-08-15,Machina Central,Rice (imported),2.8 KG,2415.38,68210,54,2037.7762472803913,2024-06-12,95,41,1
2023-08-15,Machina Central,Rice (local),2.7 KG,1910.0,68211,85,1495.912844602948,2023-08-23,112,24,1
2023-08-15,Machina Central,Sorghum,2.7 KG,1135.0,68212,29,926.161977362225,2023-12-03,70,41,0
2023-08-15,Machina Central,Yam,2.5 KG,1570.0,68213,72,1131.5708595437402,2024-03-18,118,43,1
2023-08-15,Machina Central,Eggs,30 pcs,2610.0,68214,12,1849.4736887665292,2023-11-19,23,9,2
2023-08-15,Machina Central,Fish,KG,282.38,68215,4,249.12176047373504,2024-01-06,17,13,1
2023-08-15,Machina Central,Meat (beef),KG,1638.46,68216,58,1399.8818416828913,2024-01-07,64,2,3
2023-08-15,Machina Central,Meat (goat),KG,1892.31,68217,7,1533.3268204584392,2024-07-12,47,37,2
2023-08-15,Machina Central,Milk (powder),400 G,2400.0,68218,62,1705.4008670419266,2023-11-16,68,3,1
2023-08-15,Machina Central,Salt,250 G,133.75,68219,39,107.09677025729395,2023-11-02,82,43,0
2023-08-15,Machina Central,Sugar,500 G,541.0,68220,61,379.32311827833144,2024-04-08,72,9,0
2023-08-15,Machina Central,Oil (palm),L,1200.0,68221,78,923.2446042004048,2024-03-20,97,16,4
2023-08-15,Machina Central,Oil (vegetable),L,1200.0,68222,36,1033.53316285579,2024-06-30,73,33,3
2023-08-15,Machina Central,Beans (red),2.5 KG,1300.0,68223,41,1109.4262152510328,2024-02-07,80,35,4
2023-08-15,Machina Central,Beans (white),2.5 KG,1230.0,68224,11,1091.523092308183,2023-10-16,21,8,0
2023-08-15,Machina Central,Cowpeas,2.5 KG,1192.31,68225,29,1069.043611183079,2024-06-29,51,21,3
2023-08-15,Machina Central,Groundnuts,2.2 KG,1950.0,68226,71,1646.2470961279644,2024-03-21,71,0,4
2023-08-15,Machina Central,Onions,0.5 KG,265.0,68227,45,222.3890738042671,2023-10-10,65,19,2
2023-08-15,Machina Central,Oranges,400 G,200.0,68228,66,174.01233005100244,2023-10-09,84,15,2
2023-08-15,Machina Central,Watermelons,2.1 KG,230.0,68229,1,173.14768791683787,2024-02-24,5,0,0
2023-09-15,Machina Central,Maize flour,2.1 KG,1280.0,68849,3,926.7049015888497,2024-07-19,33,30,3
2023-09-15,Machina Central,Millet,2.6 KG,776.0,68850,69,572.6680429725805,2024-01-28,89,16,3
2023-09-15,Machina Central,Rice (imported),2.8 KG,2665.0,68851,58,2249.4366666358187,2024-03-22,105,43,3
2023-09-15,Machina Central,Rice (local),2.7 KG,2012.5,68852,34,1808.0188328835072,2024-04-30,38,3,1
2023-09-15,Machina Central,Sorghum,2.7 KG,1012.5,68853,95,715.1203586708777,2024-03-26,127,31,3
2023-09-15,Machina Central,Yam,2.5 KG,1500.0,68854,38,1080.9677310884256,2024-02-21,61,21,2
2023-09-15,Machina Central,Eggs,30 pcs,3000.0,68855,55,2366.226886497614,2023-12-27,71,15,1
2023-09-15,Machina Central,Fish,KG,250.0,68856,94,204.8450855354309,2024-05-13,130,32,0
2023-09-15,Machina Central,Meat (beef),KG,1861.54,68857,86,1344.851256453307,2024-02-22,113,25,3
2023-09-15,Machina Central,Meat (goat),KG,1630.0,68858,41,1434.0922602249336,2024-02-27,86,43,3
2023-09-15,Machina Central,Milk (powder),400 G,2400.0,68859,1,2056.5377771445064,2024-09-09,34,31,3
2023-09-15,Machina Central,Salt,250 G,97.5,68860,77,85.38664061988158,2024-08-05,114,34,4
2023-09-15,Machina Central,Sugar,500 G,600.0,68861,54,485.7202427064026,2023-11-09,85,31,2
2023-09-15,Machina Central,Oil (palm),L,1144.0,68862,15,969.6132938077757,2023-11-24,42,24,2
2023-09-15,Machina Central,Oil (vegetable),L,1200.0,68863,2,924.3162832905656,2023-10-15,37,34,2
2023-09-15,Machina Central,Beans (red),2.5 KG,1065.0,68864,60,939.6710919218949,2024-07-19,74,11,2
2023-09-15,Machina Central,Beans (white),2.5 KG,1035.0,68865,54,816.4176298618571,2024-01-21,79,24,2
2023-09-15,Machina Central,Cowpeas,2.5 KG,1065.0,68866,93,749.4334957957726,2024-06-24,97,3,2
2023-09-15,Machina Central,Groundnuts,2.2 KG,1975.0,68867,46,1633.0053616497473,2023-11-08,83,33,0
2023-09-15,Machina Central,Bananas,1.3 KG,580.77,68868,64,432.30912755057955,2023-10-17,76,11,0
2023-09-15,Machina Central,Onions,0.5 KG,300.0,68869,59,223.08882137183613,2024-03-22,59,0,4
2023-09-15,Machina Central,Oranges,400 G,200.0,68870,15,175.964612300535,2024-04-15,22,5,1
