timestamp,store_id,sku,unit,unit_price,transaction_id,qty,cost_price,expiry_date,inventory_open,inventory_close,waste_units
2002-11-15,Mai Adoua (CBM),Maize,KG,98.75,99,27,73.44958512056866,2003-08-28,28,0,1
2002-11-15,Mai Adoua (CBM),Millet,KG,120.0,100,51,103.55523196693342,2003-09-27,64,9,0
2002-11-15,Mai Adoua (CBM),Rice (imported),KG,320.0,101,13,273.72262874407124,2003-06-02,54,39,0
2002-11-15,Mai Adoua (CBM),Sorghum,KG,85.0,102,64,72.44496041105029,2003-08-13,111,47,4
2002-11-15,Mai Adoua (CBM),Beans (niebe),KG,130.0,103,38,108.98735364389611,2003-02-06,72,32,0
2002-12-15,Mai Adoua (CBM),Maize,KG,114.23,114,62,81.68060000178633,2003-06-11,72,9,0
2002-12-15,Mai Adoua (CBM),Millet,KG,125.28,115,10,88.77687780924569,2003-05-01,47,37,0
2002-12-15,Mai Adoua (CBM),Rice (imported),KG,314.52,116,87,231.58057323404603,2003-07-08,132,43,2
2002-12-15,Mai Adoua (CBM),Sorghum,KG,93.34,117,65,76.61128575413224,2003-05-19,78,12,3
2002-12-15,Mai Adoua (CBM),Beans (niebe),KG,135.09,118,76,100.97476615083292,2003-01-16,78,1,3
2003-01-15,Mai Adoua (CBM),Maize,KG,114.01,129,41,101.96748817445363,2003-09-19,75,31,1
2003-01-15,Mai Adoua (CBM),Millet,KG,136.06,130,46,113.43018821755578,2003-05-31,62,13,0
2003-01-15,Mai Adoua (CBM),Rice (imported),KG,323.83,131,21,276.9176709591822,2003-02-22,53,31,2
2003-01-15,Mai Adoua (CBM),Sorghum,KG,113.95,132,60,102.07065583079299,2003-04-26,83,22,3
2003-01-15,Mai Adoua (CBM),Wheat,KG,210.76,133,45,152.50269096868072,2003-06-09,63,17,1
2003-02-15,Mai Adoua (CBM),Maize,KG,103.86,144,47,92.04238101889462,2003-06-22,88,37,3
2003-02-15,Mai Adoua (CBM),Millet,KG,129.65,145,68,94.87475797600368,2003-05-09,72,1,1
2003-02-15,Mai Adoua (CBM),Rice (imported),KG,301.01,146,50,267.4145785773325,2003-08-12,72,21,3
2003-02-15,Mai Adoua (CBM),Sorghum,KG,110.56,147,74,88.03872364922155,2003-05-12,103,28,0
2003-02-15,Mai Adoua (CBM),Wheat,KG,199.14,148,98,147.16882360741369,2003-10-22,135,37,0
2003-03-15,Mai Adoua (CBM),Maize,KG,97.84,159,61,73.9217790817776,2003-06-23,79,18,0
2003-03-15,Mai Adoua (CBM),Millet,KG,128.15,160,68,107.60059469471013,2003-05-19,116,46,1
2003-03-15,Mai Adoua (CBM),Rice (imported),KG,320.26,161,93,247.93639704129663,2003-11-21,133,36,1
2003-03-15,Mai Adoua (CBM),Sorghum,KG,102.41,162,16,76.31895338427559,2003-04-29,20,3,4
2003-03-15,Mai Adoua (CBM),Wheat,KG,185.09,163,81,132.57872374639456,2003-08-08,101,16,1
2003-04-15,Mai Adoua (CBM),Maize,KG,97.4,169,18,72.8068227242738,2003-09-09,33,15,2
2003-04-15,Mai Adoua (CBM),Millet,KG,128.41,170,12,102.25759270640607,2004-04-11,42,28,2
2003-04-15,Mai Adoua (CBM),Rice (imported),KG,355.88,171,69,304.317656168649,2003-06-29,114,43,3
2003-04-15,Mai Adoua (CBM),Sorghum,KG,97.43,172,58,84.39394414975928,2003-09-27,97,36,1
2003-04-15,Mai Adoua (CBM),Wheat,KG,186.94,173,41,132.22743425790253,2003-07-15,76,32,1
2003-05-15,Mai Adoua (CBM),Maize,KG,92.26,183,33,77.269578850966,2004-04-14,45,9,3
2003-05-15,Mai Adoua (CBM),Millet,KG,129.19,184,90,107.82370506623535,2003-09-08,133,40,4
2003-05-15,Mai Adoua (CBM),Rice (imported),KG,351.45,185,8,274.6867652933428,2004-03-27,12,1,4
2003-05-15,Mai Adoua (CBM),Sorghum,KG,93.37,186,55,77.50774880505895,2004-04-29,95,36,1
2003-05-15,Mai Adoua (CBM),Wheat,KG,187.71,187,1,135.91558351163394,2003-07-17,48,47,4
2003-06-15,Mai Adoua (CBM),Maize,KG,84.53,198,49,67.00002318933032,2004-06-05,82,32,3
2003-06-15,Mai Adoua (CBM),Millet,KG,114.89,199,16,84.0606525035987,2004-02-19,20,2,2
2003-06-15,Mai Adoua (CBM),Rice (imported),KG,283.16,200,85,228.02981899254206,2004-06-11,109,24,3
2003-06-15,Mai Adoua (CBM),Sorghum,KG,75.58,201,18,64.10951337016101,2004-03-25,32,12,0
2003-06-15,Mai Adoua (CBM),Wheat,KG,178.52,202,67,128.4828110398203,2004-03-05,109,39,0
2003-07-15,Mai Adoua (CBM),Maize,KG,71.41,208,86,55.67902099323382,2003-11-16,95,7,1
2003-07-15,Mai Adoua (CBM),Millet,KG,99.1,209,58,79.53350557076038,2003-07-27,66,6,0
2003-07-15,Mai Adoua (CBM),Rice (imported),KG,252.65,210,76,214.10789650564232,2004-05-15,89,13,4
2003-07-15,Mai Adoua (CBM),Sorghum,KG,70.35,211,2,60.00632260807216,2003-11-07,47,42,0
2003-07-15,Mai Adoua (CBM),Wheat,KG,179.06,212,34,126.64538667567051,2003-09-30,65,27,1
2003-08-15,Mai Adoua (CBM),Maize,KG,70.15,225,53,55.84879337258291,2004-07-28,59,3,3
2003-08-15,Mai Adoua (CBM),Millet,KG,86.05,226,16,64.5423866947448,2003-11-02,62,46,1
2003-08-15,Mai Adoua (CBM),Rice (imported),KG,226.33,227,24,175.0072739104576,2004-06-07,69,44,0
2003-08-15,Mai Adoua (CBM),Sorghum,KG,64.84,228,28,50.079340857195625,2004-06-26,48,20,1
2003-08-15,Mai Adoua (CBM),Wheat,KG,174.29,229,39,139.4889080717376,2004-01-04,59,19,2
2003-09-15,Mai Adoua (CBM),Maize,KG,88.38,243,6,64.04658565683788,2004-02-22,33,27,2
2003-09-15,Mai Adoua (CBM),Millet,KG,84.13,244,39,71.23108860989494,2004-06-19,84,41,0
2003-09-15,Mai Adoua (CBM),Rice (imported),KG,216.19,245,69,159.42404093395706,2003-10-21,89,17,1
2003-09-15,Mai Adoua (CBM),Sorghum,KG,73.5,246,93,62.94056591941423,2004-04-03,97,3,3
2003-09-15,Mai Adoua (CBM),Wheat,KG,170.4,247,18,140.28953660481884,2003-09-30,32,11,3
2003-10-15,Mai Adoua (CBM),Maize,KG,75.67,256,40,57.306896497248104,2004-09-26,46,6,4
2003-10-15,Mai Adoua (CBM),Millet,KG,78.6,257,55,69.50111683196862,2003-12-06,97,39,0
2003-10-15,Mai Adoua (CBM),Rice (imported),KG,207.09,258,17,166.28909800844536,2004-02-03,52,35,0
2003-10-15,Mai Adoua (CBM),Sorghum,KG,65.7,259,52,57.66298774333302,2004-06-15,52,0,4
2003-10-15,Mai Adoua (CBM),Wheat,KG,165.67,260,6,129.9609820600566,2004-07-17,47,38,0
2003-11-15,Mai Adoua (CBM),Maize,KG,73.51,272,21,53.167320618044336,2004-02-25,23,0,0
2003-11-15,Mai Adoua (CBM),Millet,KG,86.79,273,82,74.69183742874738,2004-06-03,128,42,1
2003-11-15,Mai Adoua (CBM),Rice (imported),KG,301.04,274,33,225.1180795881317,2004-01-14,48,13,4
2003-11-15,Mai Adoua (CBM),Sorghum,KG,68.6,275,18,49.23981458170327,2004-02-05,66,45,0
2003-11-15,Mai Adoua (CBM),Wheat,KG,154.96,276,87,139.4050582524308,2004-08-17,96,9,2
2003-12-15,Mai Adoua (CBM),Maize,KG,83.1,290,79,74.27479010748067,2004-12-10,87,4,1
2003-12-15,Mai Adoua (CBM),Millet,KG,85.03,291,24,71.3932512119517,2004-12-04,34,8,2
2003-12-15,Mai Adoua (CBM),Rice (imported),KG,386.48,292,63,307.8105419331093,2003-12-26,74,11,2
2003-12-15,Mai Adoua (CBM),Sorghum,KG,77.29,293,60,69.42562112089158,2004-05-20,96,33,0
2003-12-15,Mai Adoua (CBM),Wheat,KG,142.98,294,43,113.16222211272793,2004-06-27,84,41,4
2005-01-15,Mai Adoua (CBM),Maize,KG,151.53,339,31,109.43972449998508,2005-02-02,72,41,3
2005-01-15,Mai Adoua (CBM),Millet,KG,146.93,340,29,110.6015514710465,2005-10-13,64,31,0
2005-01-15,Mai Adoua (CBM),Rice (imported),KG,319.56,341,46,239.1843252394049,2005-08-18,48,1,2
2005-01-15,Mai Adoua (CBM),Sorghum,KG,138.69,342,47,111.80944750485527,2005-04-24,67,20,3
2005-01-15,Mai Adoua (CBM),Wheat,KG,177.28,343,97,125.49710404698224,2006-01-11,120,20,0
2005-02-15,Mai Adoua (CBM),Maize,KG,155.56,356,66,124.86970146235934,2005-10-28,103,37,3
2005-02-15,Mai Adoua (CBM),Millet,KG,160.92,357,9,115.2243766335497,2005-09-18,17,4,0
2005-02-15,Mai Adoua (CBM),Rice (imported),KG,324.07,358,76,288.5570282472291,2005-12-14,105,28,3
2005-02-15,Mai Adoua (CBM),Sorghum,KG,146.3,359,46,126.66446897405126,2005-03-01,58,11,3
2005-02-15,Mai Adoua (CBM),Wheat,KG,184.26,360,5,151.90552704211132,2005-11-21,23,16,1
2005-03-15,Mai Adoua (CBM),Maize,KG,174.81,374,96,142.30138869531925,2006-02-13,124,25,1
2005-03-15,Mai Adoua (CBM),Millet,KG,174.07,375,90,124.21879643453411,2005-09-22,122,30,0
2005-03-15,Mai Adoua (CBM),Rice (imported),KG,357.04,376,33,267.0119253043671,2005-08-05,41,7,2
2005-03-15,Mai Adoua (CBM),Sorghum,KG,155.19,377,70,116.21685669611226,2005-10-21,97,27,0
2005-03-15,Mai Adoua (CBM),Wheat,KG,195.56,378,60,159.04588835914495,2005-09-09,91,27,3
2005-04-15,Mai Adoua (CBM),Maize,KG,209.8,387,31,184.81206920762736,2005-08-22,74,41,2
2005-04-15,Mai Adoua (CBM),Millet,KG,199.61,388,5,163.80178261974638,2006-03-06,18,13,4
2005-04-15,Mai Adoua (CBM),Rice (imported),KG,428.81,389,80,350.99746346420153,2005-08-03,102,18,1
2005-04-15,Mai Adoua (CBM),Sorghum,KG,172.84,390,6,130.33059963293513,2005-06-29,26,19,0
2005-04-15,Mai Adoua (CBM),Wheat,KG,199.65,391,46,144.54063039561757,2005-05-08,66,16,4
2005-05-15,Mai Adoua (CBM),Maize,KG,207.12,404,79,170.44613747845582,2005-11-25,88,9,1
2005-05-15,Mai Adoua (CBM),Millet,KG,211.75,405,56,175.989982676,2006-05-06,86,30,4
2005-05-15,Mai Adoua (CBM),Rice (imported),KG,412.52,406,67,322.0539477114005,2005-06-16,106,36,3
2005-05-15,Mai Adoua (CBM),Sorghum,KG,186.06,407,28,157.68133753905403,2005-09-14,76,45,0
2005-05-15,Mai Adoua (CBM),Wheat,KG,194.29,408,89,138.75834763920997,2005-09-29,101,9,3
2005-06-15,Mai Adoua (CBM),Maize,KG,241.08,422,70,181.768021745518,2005-12-27,72,0,0
2005-06-15,Mai Adoua (CBM),Millet,KG,247.31,423,90,193.80230018489237,2005-09-20,135,44,2
2005-06-15,Mai Adoua (CBM),Rice (imported),KG,411.64,424,51,344.3294035387,2006-05-08,87,33,1
2005-06-15,Mai Adoua (CBM),Sorghum,KG,226.26,425,58,184.62392670647438,2006-03-31,72,10,3
2005-06-15,Mai Adoua (CBM),Wheat,KG,232.7,426,67,186.20097009116884,2005-12-23,88,18,1
2005-07-15,Mai Adoua (CBM),Maize,KG,246.16,435,74,187.6002938691096,2006-05-05,91,17,3
2005-07-15,Mai Adoua (CBM),Millet,KG,297.35,436,67,226.28205555950225,2006-01-09,86,18,3
2005-07-15,Mai Adoua (CBM),Rice (imported),KG,391.99,437,3,319.23598845786483,2006-05-07,33,26,4
