timestamp,store_id,sku,unit,unit_price,transaction_id,qty,cost_price,expiry_date,inventory_open,inventory_close,waste_units
2009-01-15,Mai Gatari (CBM),Maize,KG,144.05,918,54,113.6562805211084,2009-05-19,57,3,4
2009-01-15,Mai Gatari (CBM),Millet,KG,158.33,919,6,118.59043772783652,2009-01-28,37,27,4
2009-01-15,Mai Gatari (CBM),Rice (imported),KG,457.14,920,10,357.744034642522,2009-02-19,13,3,4
2009-01-15,Mai Gatari (CBM),Sorghum,KG,143.45,921,64,125.42464241470547,2009-10-31,91,24,2
2009-02-15,Mai Gatari (CBM),Maize,KG,190.0,941,73,161.11093232435826,2009-03-22,90,17,4
2009-02-15,Mai Gatari (CBM),Millet,KG,141.38,942,77,112.743768957716,2009-07-28,107,30,4
2009-02-15,Mai Gatari (CBM),Rice (imported),KG,514.5,943,57,456.84375339161676,2009-08-06,57,0,3
2009-02-15,Mai Gatari (CBM),Sorghum,KG,132.25,944,91,116.2272550139004,2010-01-16,131,38,1
2009-07-15,Mai Gatari (CBM),Maize,KG,200.0,976,70,152.81713603761088,2010-01-29,119,47,4
2009-07-15,Mai Gatari (CBM),Millet,KG,164.0,977,32,130.29699393177842,2009-09-24,61,27,3
2009-07-15,Mai Gatari (CBM),Rice (imported),KG,424.0,978,39,347.2875668689821,2009-09-03,64,23,0
2009-07-15,Mai Gatari (CBM),Sorghum,KG,185.0,979,24,145.8073001029389,2010-03-22,69,44,0
2009-08-15,Mai Gatari (CBM),Maize,KG,181.44,999,24,149.5522399566837,2010-02-17,49,22,3
2009-08-15,Mai Gatari (CBM),Millet,KG,174.24,1000,1,142.2101760283032,2010-01-28,49,46,1
2009-08-15,Mai Gatari (CBM),Rice (imported),KG,439.39,1001,73,367.00500114284006,2010-01-18,110,34,3
2009-08-15,Mai Gatari (CBM),Sorghum,KG,152.27,1002,54,106.80071561430732,2009-12-20,61,6,2
2009-09-15,Mai Gatari (CBM),Maize,KG,151.65,1022,33,125.03595918483194,2010-04-15,50,15,4
2009-09-15,Mai Gatari (CBM),Millet,KG,145.05,1023,31,112.23253568820527,2010-06-30,79,48,4
2009-09-15,Mai Gatari (CBM),Rice (imported),KG,431.64,1024,62,334.7899471271369,2009-10-05,78,14,1
2009-09-15,Mai Gatari (CBM),Sorghum,KG,124.44,1025,85,93.61582265900758,2009-11-25,133,48,3
2009-10-15,Mai Gatari (CBM),Maize,KG,129.77,1045,70,102.28961181306323,2010-01-02,109,35,1
2009-10-15,Mai Gatari (CBM),Millet,KG,109.09,1046,3,81.96237162053504,2009-11-22,47,43,0
2009-10-15,Mai Gatari (CBM),Rice (imported),KG,373.08,1047,80,302.49730717032656,2010-06-12,84,1,2
2009-10-15,Mai Gatari (CBM),Sorghum,KG,111.7,1048,11,90.4273664183947,2010-08-22,49,37,1
2009-11-15,Mai Gatari (CBM),Maize,KG,159.18,1068,22,120.51334473967228,2010-05-03,60,37,1
2009-11-15,Mai Gatari (CBM),Millet,KG,133.57,1069,89,101.83322454165871,2010-10-26,95,4,2
2009-11-15,Mai Gatari (CBM),Rice (imported),KG,370.41,1070,69,332.17834237210593,2010-10-20,87,15,1
2009-11-15,Mai Gatari (CBM),Sorghum,KG,131.55,1071,88,110.95753201501711,2010-07-02,105,14,2
2009-12-15,Mai Gatari (CBM),Maize,KG,170.28,1091,37,121.20801041047619,2010-05-13,69,31,2
2009-12-15,Mai Gatari (CBM),Millet,KG,142.3,1092,46,117.52239958704811,2009-12-31,61,14,0
2009-12-15,Mai Gatari (CBM),Rice (imported),KG,373.22,1093,53,330.4394170840638,2010-06-30,81,27,4
