timestamp,store_id,sku,unit,unit_price,transaction_id,qty,cost_price,expiry_date,inventory_open,inventory_close,waste_units
2012-05-15,Maiduguri,Maize (white),100 KG,4999.99,1746,86,3614.8553378899433,2013-01-04,130,43,3
2012-05-15,Maiduguri,Rice (imported),50 KG,9274.99,1747,90,6765.121745183536,2012-10-15,113,23,3
2012-05-15,Maiduguri,"Rice (milled, local)",50 KG,14974.95,1748,27,12854.63612492357,2013-01-20,53,22,1
2012-05-15,Maiduguri,Sorghum (white),100 KG,5350.0,1749,11,4410.2806760616695,2012-08-19,49,38,3
2012-06-15,Maiduguri,Maize (white),100 KG,6912.5,1778,11,5155.091209905192,2013-05-31,22,7,4
2012-06-15,Maiduguri,Rice (imported),50 KG,9500.0,1779,20,7412.320345068913,2013-05-06,28,6,2
2012-06-15,Maiduguri,"Rice (milled, local)",50 KG,14700.0,1780,20,11057.645431032435,2013-01-05,65,41,1
2012-06-15,Maiduguri,Sorghum (white),100 KG,6475.0,1781,38,5114.299494657231,2013-04-05,41,1,2
2012-07-15,Maiduguri,Maize (white),100 KG,7250.0,1790,64,5538.4270024559455,2013-03-20,93,26,2
2012-07-15,Maiduguri,Rice (imported),50 KG,9000.0,1791,4,7766.844859248788,2012-10-05,48,43,3
2012-07-15,Maiduguri,"Rice (milled, local)",50 KG,16075.0,1792,94,11646.70419569837,2012-11-10,138,42,0
2012-07-15,Maiduguri,Sorghum (white),100 KG,7025.0,1793,29,5280.293168357375,2012-09-23,34,2,1
2012-08-15,Maiduguri,Maize (white),100 KG,7560.0,1822,42,6209.1511626966685,2013-06-03,46,4,4
2012-08-15,Maiduguri,Rice (imported),50 KG,9600.0,1823,23,7825.263349224512,2013-07-05,41,16,4
2012-08-15,Maiduguri,"Rice (milled, local)",50 KG,16960.0,1824,52,12596.785788956446,2013-07-06,55,3,0
2012-08-15,Maiduguri,Sorghum (white),100 KG,7020.0,1825,95,5808.872923231322,2012-10-03,138,40,3
2012-09-15,Maiduguri,Maize (white),100 KG,8125.0,1854,15,6989.617074723052,2013-07-17,24,9,3
2012-09-15,Maiduguri,Rice (imported),50 KG,9600.0,1855,99,8104.690306532714,2012-12-10,115,12,3
2012-09-15,Maiduguri,"Rice (milled, local)",50 KG,15600.0,1856,91,13238.434478226347,2013-01-21,125,32,0
2012-09-15,Maiduguri,Sorghum (white),100 KG,7300.0,1857,59,6144.157478358454,2013-03-03,71,12,0
2012-10-15,Maiduguri,Maize (white),100 KG,7080.0,1887,79,6322.414375665594,2013-03-07,89,10,2
2012-10-15,Maiduguri,Rice (imported),50 KG,9330.0,1888,77,7692.48810404753,2012-11-27,87,9,3
2012-10-15,Maiduguri,"Rice (milled, local)",50 KG,14360.0,1889,10,12136.21302075057,2013-05-04,49,37,0
2012-10-15,Maiduguri,Sorghum (white),100 KG,6140.0,1890,3,5127.650065398587,2013-01-05,7,4,1
2012-11-15,Maiduguri,Maize (white),100 KG,7000.0,1920,99,5265.95550359874,2012-12-08,108,6,1
2012-11-15,Maiduguri,Rice (imported),50 KG,8500.0,1921,51,6535.3901452394675,2013-02-01,97,43,3
2012-11-15,Maiduguri,"Rice (milled, local)",50 KG,14000.0,1922,52,11749.343279911482,2013-08-03,54,1,0
2012-11-15,Maiduguri,Sorghum (white),100 KG,6225.0,1923,26,5504.591925749128,2013-03-25,38,11,0
2012-12-15,Maiduguri,Maize (white),100 KG,6950.0,1953,75,5322.184183290329,2013-09-07,85,9,3
2012-12-15,Maiduguri,Rice (imported),50 KG,9062.5,1954,28,7450.093244946083,2013-06-18,41,13,4
2012-12-15,Maiduguri,"Rice (milled, local)",50 KG,14375.0,1955,94,11994.335694719488,2013-05-30,128,33,2
2012-12-15,Maiduguri,Sorghum (white),100 KG,5850.0,1956,11,4893.263356304383,2013-07-25,55,44,1
2013-01-15,Maiduguri,Maize (white),100 KG,6890.0,1986,7,5877.42572392823,2013-04-22,55,47,2
2013-01-15,Maiduguri,Rice (imported),50 KG,9040.0,1987,10,7265.697048182032,2013-03-29,24,14,4
2013-01-15,Maiduguri,"Rice (milled, local)",50 KG,15060.0,1988,85,11183.972391565936,2013-11-21,94,5,4
