timestamp,store_id,sku,unit,unit_price,transaction_id,qty,cost_price,expiry_date,inventory_open,inventory_close,waste_units
2016-06-15,Monday,Maize flour,2.1 KG,302.0,8552,69,246.30240328467278,2017-01-20,102,30,4
2016-06-15,Monday,Millet,2.6 KG,403.0,8553,38,319.8729743690638,2017-02-14,79,39,0
2016-06-15,Monday,Rice (imported),2.8 KG,966.0,8554,39,805.3389903321525,2016-08-30,46,3,0
2016-06-15,Monday,Rice (local),2.7 KG,835.0,8555,40,642.8534293638115,2016-09-06,88,45,3
2016-06-15,Monday,Yam,2.5 KG,349.0,8556,59,268.6393083793023,2016-11-27,107,47,2
2016-06-15,Monday,Fish,KG,89.0,8557,58,70.51744632936281,2017-03-30,103,45,0
2016-06-15,Monday,Meat (beef),KG,833.3,8558,34,637.493014000349,2016-09-22,70,34,0
2016-06-15,Monday,Meat (goat),KG,866.7,8559,15,716.0868275478543,2017-04-22,44,29,1
2016-06-15,Monday,Milk (powder),400 G,400.0,8560,82,305.0542028952045,2016-10-25,85,0,2
2016-06-15,Monday,Oil (palm),L,293.0,8561,56,218.0319817882962,2016-07-10,103,43,0
2016-06-15,Monday,Oil (vegetable),L,373.0,8562,70,320.3534809409694,2017-05-25,97,23,4
2016-06-15,Monday,Beans (red),2.5 KG,640.0,8563,56,570.2378101720739,2017-02-02,82,22,1
2016-06-15,Monday,Beans (white),2.5 KG,673.0,8564,29,494.4930403947799,2016-10-11,34,3,2
2016-06-15,Monday,Groundnuts,2.2 KG,646.0,8565,73,477.5333200391758,2017-05-14,116,39,3
2016-06-15,Monday,Onions,0.5 KG,123.3,8566,30,102.73015968820029,2017-05-06,78,48,1
2016-07-15,Monday,Maize flour,2.1 KG,178.0,8939,22,159.0688137343166,2016-10-16,59,34,1
2016-07-15,Monday,Millet,2.6 KG,223.0,8940,36,194.3844868064615,2017-04-15,46,7,3
2016-07-15,Monday,Rice (imported),2.8 KG,1000.0,8941,33,892.2509741109316,2017-03-15,69,32,0
2016-07-15,Monday,Rice (local),2.7 KG,810.0,8942,54,602.7382593089756,2016-09-26,64,6,1
2016-07-15,Monday,Yam,2.5 KG,294.0,8943,67,229.08337380166023,2016-09-06,90,21,3
2016-07-15,Monday,Eggs,30 pcs,950.0,8944,55,840.5209265770083,2017-02-15,58,0,2
2016-07-15,Monday,Fish,KG,67.0,8945,67,56.4603618718642,2016-08-26,87,19,1
2016-07-15,Monday,Meat (beef),KG,1100.0,8946,26,924.9716114361387,2016-08-26,41,13,4
2016-07-15,Monday,Meat (goat),KG,1100.0,8947,15,950.8526346341113,2017-01-20,29,13,0
2016-07-15,Monday,Milk (powder),400 G,550.0,8948,49,456.96307704353075,2016-11-07,83,32,4
2016-07-15,Monday,Oil (palm),L,367.0,8949,39,263.91075929518473,2017-06-05,45,3,0
2016-07-15,Monday,Oil (vegetable),L,367.0,8950,36,281.7684282658523,2016-11-07,44,5,3
2016-07-15,Monday,Beans (red),2.5 KG,587.0,8951,11,492.08301914257356,2017-06-25,17,4,2
2016-07-15,Monday,Beans (white),2.5 KG,673.0,8952,62,604.7398061681345,2016-09-21,79,13,3
2016-07-15,Monday,Groundnuts,2.2 KG,350.0,8953,74,268.86059710139205,2016-10-11,122,44,4
2016-07-15,Monday,Onions,0.5 KG,55.0,8954,39,41.49329298483211,2017-06-12,50,11,0
2016-08-15,Monday,Maize flour,2.1 KG,485.0,9345,5,370.1695008397372,2017-05-07,49,40,2
2016-08-15,Monday,Rice (imported),2.8 KG,1100.0,9346,91,972.9064472076013,2017-08-03,107,16,4
2016-08-15,Monday,Rice (local),2.7 KG,916.0,9347,70,667.5096261481893,2016-10-14,74,3,1
2016-08-15,Monday,Yam,2.5 KG,257.0,9348,95,188.2644058986119,2016-10-20,107,8,1
2016-08-15,Monday,Eggs,30 pcs,850.0,9349,69,708.0674588969889,2017-05-06,96,23,1
2016-08-15,Monday,Fish,KG,133.0,9350,3,99.10566158643478,2017-01-07,15,9,2
2016-08-15,Monday,Meat (beef),KG,1000.0,9351,62,864.9517614185869,2016-10-11,95,29,4
2016-08-15,Monday,Meat (goat),KG,1000.0,9352,55,891.7762170180945,2017-01-19,56,0,1
2016-08-15,Monday,Milk (powder),400 G,600.0,9353,77,467.76180323512284,2016-09-29,105,26,1
2016-08-15,Monday,Oil (palm),L,413.0,9354,70,347.39766430368604,2017-01-20,79,8,1
2016-08-15,Monday,Oil (vegetable),L,433.0,9355,77,363.97159383672346,2017-03-03,103,26,1
2016-08-15,Monday,Beans (red),2.5 KG,740.0,9356,73,592.4506987899888,2016-11-21,110,33,1
2016-08-15,Monday,Beans (white),2.5 KG,673.0,9357,45,589.8814220644587,2017-07-02,57,12,4
2016-08-15,Monday,Groundnuts,2.2 KG,800.0,9358,44,719.8241256987876,2017-03-19,47,2,4
2016-08-15,Monday,Onions,0.5 KG,40.0,9359,27,35.5327855982774,2016-10-29,39,11,4
2016-09-15,Monday,Maize flour,2.1 KG,435.0,9756,17,338.37172608443626,2017-05-03,52,32,1
2016-09-15,Monday,Rice (imported),2.8 KG,1088.0,9757,94,961.2004874550582,2017-03-12,106,12,4
2016-09-15,Monday,Rice (local),2.7 KG,835.0,9758,60,609.9781339956204,2017-07-07,72,8,0
2016-09-15,Monday,Yam,2.5 KG,239.0,9759,26,168.70343618252352,2017-06-14,28,0,2
2016-09-15,Monday,Eggs,30 pcs,825.0,9760,19,641.4612613931306,2017-05-01,33,13,1
2016-09-15,Monday,Fish,KG,196.0,9761,35,144.52113001653967,2017-03-09,37,1,2
2016-09-15,Monday,Meat (beef),KG,1000.0,9762,89,747.6488999994206,2016-11-26,138,47,0
2016-09-15,Monday,Meat (goat),KG,1075.0,9763,88,958.1899920961605,2017-06-03,129,41,2
2016-09-15,Monday,Milk (powder),400 G,500.0,9764,89,352.60689534623214,2017-09-09,122,29,4
2016-09-15,Monday,Oil (palm),L,437.0,9765,40,323.3345842508728,2017-04-30,76,35,3
2016-09-15,Monday,Oil (vegetable),L,497.0,9766,27,432.5585894522097,2017-06-03,48,20,0
2016-09-15,Monday,Beans (red),2.5 KG,758.0,9767,94,598.2889156699098,2017-06-12,139,44,1
2016-09-15,Monday,Beans (white),2.5 KG,794.0,9768,95,605.3435125829989,2017-08-23,142,44,4
2016-09-15,Monday,Groundnuts,2.2 KG,736.0,9769,28,589.0225552916988,2017-09-10,61,30,0
2016-09-15,Monday,Bananas,1.3 KG,216.7,9770,36,175.79045858324508,2016-11-24,43,5,3
2016-09-15,Monday,Onions,0.5 KG,68.8,9771,75,52.18343051624812,2016-11-01,82,3,0
2016-09-15,Monday,Oranges,400 G,66.7,9772,23,49.84114165263229,2016-10-21,62,36,1
2016-09-15,Monday,Spinach,300 G,36.7,9773,30,25.789436454786323,2017-03-28,41,8,4
