timestamp,store_id,sku,unit,unit_price,transaction_id,qty,cost_price,expiry_date,inventory_open,inventory_close,waste_units
2023-06-15,Monguno,Maize flour,2.1 KG,1279.17,66808,2,914.4296506266377,2024-05-30,15,13,0
2023-06-15,Monguno,Millet,2.6 KG,958.33,66809,32,700.2397628624242,2024-05-31,71,38,2
2023-06-15,Monguno,Rice (imported),2.8 KG,2791.67,66810,66,2043.2895036807079,2024-05-28,105,39,1
2023-06-15,Monguno,Rice (local),2.7 KG,1879.17,66811,6,1421.289723623755,2023-11-20,44,37,4
2023-06-15,Monguno,Sorghum,2.7 KG,900.0,66812,69,806.722215567866,2023-10-01,89,18,4
2023-06-15,Monguno,Yam,2.5 KG,1791.67,66813,75,1531.8911292593134,2023-12-27,103,24,1
2023-06-15,Monguno,Eggs,30 pcs,2300.0,66814,40,1716.818412027341,2023-08-18,63,20,1
2023-06-15,Monguno,Fish,KG,604.17,66815,23,530.7344916176478,2023-12-29,42,17,0
2023-06-15,Monguno,Meat (beef),KG,1916.67,66816,90,1350.518682915987,2023-10-05,107,14,2
2023-06-15,Monguno,Meat (goat),KG,2008.33,66817,20,1651.0897325981084,2023-10-23,29,6,3
2023-06-15,Monguno,Milk (powder),400 G,1766.67,66818,18,1423.5010938253693,2023-09-26,45,27,1
2023-06-15,Monguno,Salt,250 G,79.58,66819,43,70.34545806529233,2023-07-11,61,15,2
2023-06-15,Monguno,Sugar,500 G,455.83,66820,55,400.05247437783066,2024-04-04,81,22,0
2023-06-15,Monguno,Oil (palm),L,1400.0,66821,72,1116.7858029097636,2023-09-22,119,45,3
2023-06-15,Monguno,Oil (vegetable),L,1341.67,66822,24,1178.0010157294812,2024-01-05,57,33,1
2023-06-15,Monguno,Beans (red),2.5 KG,1316.67,66823,97,1084.2530206394729,2024-04-07,141,40,4
2023-06-15,Monguno,Beans (white),2.5 KG,1216.67,66824,22,940.2264711743795,2023-12-30,71,48,4
2023-06-15,Monguno,Cowpeas,2.5 KG,1316.67,66825,6,1177.392865756443,2024-06-12,8,2,0
2023-06-15,Monguno,Groundnuts,2.2 KG,1916.67,66826,78,1707.2270752260831,2023-08-19,78,0,4
2023-06-15,Monguno,Bananas,1.3 KG,470.83,66827,14,329.60754249850044,2023-12-11,44,29,3
2023-06-15,Monguno,Onions,0.5 KG,131.25,66828,93,117.68724154719953,2023-09-30,110,17,4
2023-06-15,Monguno,Oranges,400 G,120.83,66829,86,94.44218217862836,2024-03-12,114,27,4
2023-06-15,Monguno,Spinach,300 G,100.0,66830,69,88.65812873655096,2023-07-13,107,37,0
2023-06-15,Monguno,Tomatoes,0.5 KG,131.25,66831,63,95.78370556256,2023-09-02,79,16,2
2023-06-15,Monguno,Watermelons,2.1 KG,450.0,66832,36,389.5149023492914,2023-10-22,52,16,0
2023-07-15,Monguno,Maize flour,2.1 KG,1383.33,67136,83,1133.3487020212501,2024-01-12,96,10,3
2023-07-15,Monguno,Millet,2.6 KG,1197.92,67137,29,1017.1186279144489,2024-05-07,74,45,4
2023-07-15,Monguno,Rice (imported),2.8 KG,2667.39,67138,41,1922.2576641778633,2024-06-02,48,4,3
2023-07-15,Monguno,Rice (local),2.7 KG,2127.08,67139,50,1612.5127149846971,2024-05-21,68,18,1
