timestamp,store_id,sku,unit,unit_price,transaction_id,qty,cost_price,expiry_date,inventory_open,inventory_close,waste_units
2023-06-15,Pulka,Millet,2.6 KG,625.0,66857,68,535.2844773753815,2023-12-01,117,47,2
2023-06-15,Pulka,Rice (local),2.7 KG,1700.0,66858,90,1194.2117629677136,2023-08-19,136,42,0
2023-06-15,Pulka,Sorghum,2.7 KG,625.0,66859,75,553.3697463138549,2023-11-14,94,16,0
2023-06-15,Pulka,Yam,2.5 KG,1500.0,66860,28,1174.7058209870165,2023-08-25,32,3,0
2023-06-15,Pulka,Eggs,30 pcs,2500.0,66861,6,1926.5662155715759,2023-11-07,24,18,3
2023-06-15,Pulka,Fish,KG,500.0,66862,85,375.6153632874765,2023-08-26,108,23,4
2023-06-15,Pulka,Meat (beef),KG,1500.0,66863,77,1315.3836029757106,2024-01-23,87,8,1
2023-06-15,Pulka,Meat (goat),KG,2000.0,66864,40,1408.044617362783,2024-01-17,47,4,4
2023-06-15,Pulka,Milk (powder),400 G,2400.0,66865,62,1745.4402571757525,2024-01-26,83,21,2
2023-06-15,Pulka,Salt,250 G,60.0,66866,2,50.36523738612356,2023-09-16,43,41,3
2023-06-15,Pulka,Sugar,500 G,500.0,66867,10,369.42731126045715,2023-08-25,22,9,2
2023-06-15,Pulka,Oil (palm),L,1300.0,66868,16,980.7165617393483,2024-03-12,62,46,3
2023-06-15,Pulka,Oil (vegetable),L,1500.0,66869,67,1114.206377398327,2024-01-27,92,24,2
2023-06-15,Pulka,Beans (red),2.5 KG,825.0,66870,22,729.3317056991916,2024-04-12,54,28,1
2023-06-15,Pulka,Beans (white),2.5 KG,775.0,66871,47,567.0427663095809,2024-04-21,74,25,3
2023-06-15,Pulka,Cowpeas,2.5 KG,1700.0,66872,82,1280.382309132634,2023-09-15,95,10,1
2023-06-15,Pulka,Groundnuts,2.2 KG,2150.0,66873,94,1916.626985786301,2024-01-11,134,37,2
2023-06-15,Pulka,Bananas,1.3 KG,375.0,66874,5,264.57283893891736,2024-01-30,39,31,2
2023-06-15,Pulka,Onions,0.5 KG,200.0,66875,43,166.06402072724575,2023-08-20,69,23,4
2023-06-15,Pulka,Oranges,400 G,250.0,66876,42,211.56283743451303,2024-03-14,51,7,3
2023-06-15,Pulka,Spinach,300 G,100.0,66877,48,78.05044657338182,2024-03-24,57,9,1
2023-06-15,Pulka,Tomatoes,0.5 KG,200.0,66878,64,160.16178184285522,2024-04-04,74,6,2
2023-06-15,Pulka,Watermelons,2.1 KG,275.0,66879,36,199.05572448670915,2023-08-24,45,8,0
2023-07-15,Pulka,Millet,2.6 KG,825.81,67185,76,674.8437401557524,2023-08-27,115,35,0
2023-07-15,Pulka,Rice (imported),2.8 KG,2420.45,67186,10,1748.440085396941,2024-03-06,57,47,4
2023-07-15,Pulka,Rice (local),2.7 KG,1983.87,67187,46,1604.7588697338233,2024-07-13,90,43,0
2023-07-15,Pulka,Sorghum,2.7 KG,814.52,67188,32,667.8308058096984,2024-02-09,73,41,0
2023-07-15,Pulka,Yam,2.5 KG,1500.0,67189,49,1200.3607279086318,2024-04-11,59,8,3
2023-07-15,Pulka,Eggs,30 pcs,2624.19,67190,34,2143.037046079767,2024-01-07,70,36,2
2023-07-15,Pulka,Fish,KG,500.0,67191,89,420.70920096962504,2024-01-19,134,41,1
2023-07-15,Pulka,Meat (beef),KG,1500.0,67192,86,1117.6778585339944,2024-01-21,99,11,3
2023-07-15,Pulka,Meat (goat),KG,1966.13,67193,83,1379.2151137350588,2024-03-05,86,1,4
2023-07-15,Pulka,Milk (powder),400 G,2400.0,67194,66,1970.2879728670634,2023-12-08,86,20,2
2023-07-15,Pulka,Salt,250 G,65.81,67195,94,50.70342749235557,2024-04-16,94,0,0
2023-07-15,Pulka,Sugar,500 G,500.0,67196,76,393.7645766798575,2024-04-09,122,44,2
2023-07-15,Pulka,Oil (palm),L,1411.29,67197,24,1241.7960205949075,2024-04-27,52,24,1
2023-07-15,Pulka,Oil (vegetable),L,1596.77,67198,47,1428.5159928854048,2023-08-27,53,2,4
2023-07-15,Pulka,Beans (red),2.5 KG,980.65,67199,47,849.7177954993089,2024-04-29,74,24,1
2023-07-15,Pulka,Beans (white),2.5 KG,940.32,67200,83,729.200805633381,2023-08-15,123,40,0
2023-07-15,Pulka,Cowpeas,2.5 KG,1633.33,67201,98,1429.6939042757842,2023-08-29,110,9,0
2023-07-15,Pulka,Groundnuts,2.2 KG,2245.16,67202,18,1835.2634680472831,2024-03-20,37,15,3
2023-07-15,Pulka,Bananas,1.3 KG,351.61,67203,13,272.03439892097646,2023-09-16,19,2,2
2023-07-15,Pulka,Onions,0.5 KG,211.29,67204,68,159.64365133935823,2024-01-18,72,4,1
2023-07-15,Pulka,Oranges,400 G,214.52,67205,26,167.9203082434565,2024-05-17,64,34,2
2023-07-15,Pulka,Spinach,300 G,100.0,67206,39,83.20918104879482,2024-04-21,78,35,3
2023-07-15,Pulka,Tomatoes,0.5 KG,183.06,67207,26,158.85045828107928,2023-07-24,66,38,4
2023-07-15,Pulka,Watermelons,2.1 KG,261.29,67208,97,209.95232541333735,2023-07-31,107,9,3
2023-08-15,Pulka,Millet,2.6 KG,900.0,67802,2,725.8412911257675,2023-08-30,2,0,3
2023-08-15,Pulka,Rice (imported),2.8 KG,2430.0,67803,68,2119.209998421729,2024-05-16,95,23,2
2023-08-15,Pulka,Rice (local),2.7 KG,2170.0,67804,93,1584.3338076402586,2024-03-13,93,0,3
2023-08-15,Pulka,Sorghum,2.7 KG,1127.5,67805,13,882.3580943731749,2024-08-02,37,24,0
2023-08-15,Pulka,Yam,2.5 KG,1500.0,67806,23,1151.7949155781564,2023-08-28,70,47,4
2023-08-15,Pulka,Eggs,30 pcs,2430.0,67807,20,2104.562049087705,2023-10-19,61,39,2
2023-08-15,Pulka,Fish,KG,360.0,67808,81,292.6193493636187,2024-01-31,95,11,0
2023-08-15,Pulka,Meat (beef),KG,1675.0,67809,71,1172.591089461425,2024-06-24,87,12,3
2023-08-15,Pulka,Meat (goat),KG,2000.0,67810,16,1636.58404917229,2024-07-08,40,20,4
2023-08-15,Pulka,Milk (powder),400 G,2330.0,67811,76,1908.682008842233,2024-04-05,101,24,3
2023-08-15,Pulka,Salt,250 G,66.75,67812,74,53.225884693881845,2024-03-09,96,18,4
2023-08-15,Pulka,Sugar,500 G,535.0,67813,44,442.27950788054073,2024-06-28,79,32,2
2023-08-15,Pulka,Oil (palm),L,1460.0,67814,66,1070.539287189227,2024-06-25,91,24,0
2023-08-15,Pulka,Oil (vegetable),L,1572.25,67815,73,1247.617134411893,2024-01-12,84,10,2
2023-08-15,Pulka,Beans (red),2.5 KG,1222.5,67816,84,935.3807889622381,2023-09-27,123,36,3
2023-08-15,Pulka,Beans (white),2.5 KG,1192.5,67817,76,1061.7646309144097,2024-02-24,121,45,1
2023-08-15,Pulka,Cowpeas,2.5 KG,1500.0,67818,87,1222.0876471442882,2023-12-06,104,16,2
2023-08-15,Pulka,Groundnuts,2.2 KG,2246.15,67819,30,1862.1040234199454,2023-10-03,68,36,2
2023-08-15,Pulka,Bananas,1.3 KG,367.5,67820,95,270.4068628808165,2023-09-25,104,5,0
2023-08-15,Pulka,Onions,0.5 KG,200.0,67821,15,174.86095979833493,2023-09-21,25,10,3
2023-08-15,Pulka,Oranges,400 G,173.08,67822,31,127.48168124936423,2024-07-01,40,5,0
2023-08-15,Pulka,Spinach,300 G,100.0,67823,76,83.59079445900626,2023-12-10,108,29,3
2023-08-15,Pulka,Tomatoes,0.5 KG,182.5,67824,12,149.78193838613964,2024-05-14,12,0,1
2023-08-15,Pulka,Watermelons,2.1 KG,280.77,67825,63,249.63058224244972,2023-08-29,101,36,3
2023-09-15,Pulka,Millet,2.6 KG,923.08,68399,94,650.9493398588313,2024-02-28,141,45,3
2023-09-15,Pulka,Rice (imported),2.8 KG,2600.0,68400,6,1824.3750861799217,2023-11-24,55,45,1
2023-09-15,Pulka,Rice (local),2.7 KG,2561.54,68401,64,2287.6843597426628,2024-01-29,84,20,2
2023-09-15,Pulka,Sorghum,2.7 KG,923.08,68402,55,750.1622109323047,2024-08-14,85,27,1
2023-09-15,Pulka,Yam,2.5 KG,1500.0,68403,56,1189.740759531379,2024-08-01,69,9,2
2023-09-15,Pulka,Eggs,30 pcs,2500.0,68404,10,1948.233438217297,2024-01-28,12,0,1
2023-09-15,Pulka,Fish,KG,500.0,68405,41,384.8895158963698,2024-04-17,88,46,4
2023-09-15,Pulka,Meat (beef),KG,1500.0,68406,65,1124.896002934422,2024-07-24,104,39,3
2023-09-15,Pulka,Meat (goat),KG,2000.0,68407,61,1416.6816113789048,2024-09-13,99,36,0
2023-09-15,Pulka,Milk (powder),400 G,2400.0,68408,25,1879.5416206579562,2024-04-13,37,9,4
2023-09-15,Pulka,Salt,250 G,62.69,68409,72,53.87732401574136,2024-06-12,74,0,0
2023-09-15,Pulka,Sugar,500 G,600.0,68410,2,446.20286509844516,2023-11-30,12,6,0
2023-09-15,Pulka,Oil (palm),L,1600.0,68411,32,1355.4516352802284,2024-04-05,37,2,4
2023-09-15,Pulka,Oil (vegetable),L,1600.0,68412,32,1420.0852895958549,2024-03-10,51,18,2
2023-09-15,Pulka,Beans (red),2.5 KG,1200.0,68413,7,985.3157193185657,2023-12-17,15,7,0
2023-09-15,Pulka,Beans (white),2.5 KG,1053.85,68414,30,856.1254289465132,2024-05-27,44,12,1
2023-09-15,Pulka,Cowpeas,2.5 KG,1807.69,68415,38,1494.711982594137,2024-07-16,74,32,3
2023-09-15,Pulka,Groundnuts,2.2 KG,2500.0,68416,67,2078.197218778874,2024-03-01,98,28,0
2023-09-15,Pulka,Bananas,1.3 KG,350.0,68417,5,307.21165560753724,2024-01-04,52,46,4
2023-09-15,Pulka,Onions,0.5 KG,200.0,68418,33,162.74317087937408,2024-03-18,79,44,2
2023-09-15,Pulka,Oranges,400 G,253.85,68419,60,219.88480193900884,2024-02-01,86,25,1
2023-09-15,Pulka,Spinach,300 G,100.0,68420,72,89.55255419468925,2024-07-07,76,3,0
2023-09-15,Pulka,Tomatoes,0.5 KG,200.0,68421,63,173.07810417352542,2024-05-15,83,16,4
