timestamp,store_id,sku,unit,unit_price,transaction_id,qty,cost_price,expiry_date,inventory_open,inventory_close,waste_units
2024-01-15,Rann,Rice (imported),2.8 KG,4500.0,70507,65,3761.7933360638563,2024-11-23,87,22,1
2024-01-15,Rann,Rice (local),2.7 KG,3500.0,70508,20,2471.8147506383743,2024-12-22,41,19,4
2024-01-15,Rann,Sorghum,2.7 KG,2000.0,70509,18,1532.7299787673358,2024-12-21,23,4,1
2024-01-15,Rann,Eggs,30 pcs,7500.0,70510,79,6281.060625395895,2024-11-20,94,13,2
2024-01-15,Rann,Fish,KG,500.0,70511,33,375.72699302709054,2024-09-17,45,10,3
2024-01-15,Rann,Meat (beef),KG,8000.0,70512,13,5746.47075674323,2024-08-07,52,39,1
2024-01-15,Rann,Meat (goat),KG,9000.0,70513,92,6338.688687665964,2024-02-05,124,31,2
2024-01-15,Rann,Milk (powder),400 G,4000.0,70514,66,3097.6295670108875,2024-05-06,81,11,2
2024-01-15,Rann,Salt,250 G,225.0,70515,46,168.17155469640835,2024-11-23,79,31,4
2024-01-15,Rann,Sugar,500 G,1300.0,70516,74,1085.462773085785,2024-10-13,89,14,3
2024-01-15,Rann,Oil (palm),L,2500.0,70517,33,1989.4585678928709,2024-10-20,44,10,2
2024-01-15,Rann,Oil (vegetable),L,2800.0,70518,26,2071.4608407394853,2024-04-03,30,2,2
2024-01-15,Rann,Beans (red),2.5 KG,3000.0,70519,77,2676.447357295084,2024-07-09,125,48,3
2024-01-15,Rann,Beans (white),2.5 KG,2500.0,70520,70,2024.5111815153048,2024-06-22,70,0,2
2024-01-15,Rann,Groundnuts,2.2 KG,4000.0,70521,65,2931.071144978568,2024-03-28,77,11,0
2024-01-15,Rann,Onions,0.5 KG,500.0,70522,77,403.34269836213576,2024-11-26,81,0,1
2024-01-15,Rann,Oranges,400 G,500.0,70523,39,367.33418414334596,2024-10-29,87,48,0
2024-01-15,Rann,Watermelons,2.1 KG,1200.0,70524,55,1003.5195553686181,2024-06-16,68,13,2
2024-09-15,Rann,Maize flour,2.1 KG,3000.0,73689,42,2208.298004257474,2024-10-09,77,32,4
2024-09-15,Rann,Millet,2.6 KG,4000.0,73690,32,3273.38250189447,2025-07-01,39,4,4
2024-09-15,Rann,Rice (imported),2.8 KG,5000.0,73691,38,4273.154231538402,2024-10-08,74,33,4
2024-09-15,Rann,Rice (local),2.7 KG,4350.0,73692,85,3633.7778861298175,2025-04-07,124,37,4
2024-09-15,Rann,Sorghum,2.7 KG,2900.0,73693,62,2146.9957213545704,2025-01-01,62,0,0
2024-09-15,Rann,Fish,KG,500.0,73694,4,409.49099288224295,2025-01-11,18,14,3
2024-09-15,Rann,Meat (beef),KG,8000.0,73695,74,5834.308567014797,2025-04-27,121,44,2
2024-09-15,Rann,Meat (goat),KG,4750.0,73696,66,3853.222990937767,2025-06-30,74,7,4
2024-09-15,Rann,Salt,250 G,110.0,73697,40,88.23302458548375,2024-12-05,67,27,1
2024-09-15,Rann,Sugar,500 G,1250.0,73698,51,1075.971544271594,2025-02-11,76,21,4
2024-09-15,Rann,Oil (palm),L,2650.0,73699,35,2112.434756113105,2024-11-15,55,17,1
2024-09-15,Rann,Oil (vegetable),L,4150.0,73700,41,3676.828468292559,2025-08-19,81,36,2
2024-09-15,Rann,Beans (red),2.5 KG,6000.0,73701,67,4734.596223818645,2025-04-26,108,41,3
2024-09-15,Rann,Beans (white),2.5 KG,6000.0,73702,46,5279.050302398605,2025-07-26,60,13,4
2024-09-15,Rann,Groundnuts,2.2 KG,4500.0,73703,35,3155.838605636642,2024-11-29,56,19,1
2024-09-15,Rann,Onions,0.5 KG,750.0,73704,97,622.8988738369966,2024-11-22,111,13,1
2024-09-15,Rann,Oranges,400 G,500.0,73705,17,358.54634498188057,2025-06-16,49,32,4
2024-09-15,Rann,Tomatoes,0.5 KG,400.0,73706,23,331.5040396080088,2025-03-05,52,26,2
2024-09-15,Rann,Watermelons,2.1 KG,1500.0,73707,86,1309.216470214007,2024-12-17,118,31,0
2024-10-15,Rann,Maize flour,2.1 KG,2618.18,74461,4,2063.4234818454074,2025-08-31,5,0,2
2024-10-15,Rann,Millet,2.6 KG,3000.0,74462,37,2647.3777526550684,2025-06-17,50,12,4
2024-10-15,Rann,Rice (imported),2.8 KG,3694.44,74463,64,3281.3111644820347,2024-11-22,79,12,1
2024-10-15,Rann,Rice (local),2.7 KG,3836.0,74464,27,3121.741380175723,2025-04-01,32,5,0
2024-10-15,Rann,Sorghum,2.7 KG,2396.0,74465,24,1831.1893977332197,2024-11-09,71,45,4
2024-10-15,Rann,Eggs,30 pcs,7500.0,74466,75,5535.313273946577,2024-11-25,111,33,0
2024-10-15,Rann,Fish,KG,636.0,74467,9,472.96428488104704,2025-08-31,45,33,2
2024-10-15,Rann,Meat (beef),KG,8000.0,74468,95,6510.658249143358,2025-04-12,118,20,1
2024-10-15,Rann,Meat (goat),KG,7320.0,74469,31,5754.791896631657,2025-05-10,76,44,0
2024-10-15,Rann,Milk (powder),400 G,4000.0,74470,7,2840.3012988666737,2025-09-12,21,11,1
2024-10-15,Rann,Salt,250 G,122.6,74471,58,86.6104558953141,2025-08-29,92,34,3
2024-10-15,Rann,Sugar,500 G,6280.0,74472,33,4676.976263114776,2025-06-09,58,24,3
2024-10-15,Rann,Oil (palm),L,2333.33,74473,72,1684.9598334811094,2025-10-11,80,6,2
2024-10-15,Rann,Oil (vegetable),L,2492.0,74474,22,2137.4727673737257,2025-01-17,55,32,3
2024-10-15,Rann,Beans (red),2.5 KG,4120.0,74475,29,3283.310030539322,2025-07-09,74,42,4
2024-10-15,Rann,Beans (white),2.5 KG,3980.0,74476,28,3092.6937259126616,2025-03-07,68,38,3
2024-10-15,Rann,Groundnuts,2.2 KG,4280.0,74477,1,3767.372321745956,2025-09-16,50,47,0
2024-10-15,Rann,Onions,0.5 KG,200.0,74478,81,178.03269378038198,2025-06-13,83,1,4
2024-10-15,Rann,Spinach,300 G,150.0,74479,85,129.37987239892223,2024-11-04,112,27,4
2024-10-15,Rann,Tomatoes,0.5 KG,250.0,74480,92,205.86428287377228,2025-04-20,97,3,4
2024-10-15,Rann,Watermelons,2.1 KG,2305.56,74481,50,1839.3973508055753,2024-12-05,51,0,0
2024-11-15,Rann,Maize flour,2.1 KG,3000.0,75213,91,2145.1787680773127,2025-11-06,104,11,2
2024-11-15,Rann,Millet,2.6 KG,3000.0,75214,99,2164.2932188716545,2025-07-23,114,14,3
2024-11-15,Rann,Rice (imported),2.8 KG,3500.0,75215,5,3085.137396461121,2025-03-03,45,38,4
