timestamp,store_id,sku,unit,unit_price,transaction_id,qty,cost_price,expiry_date,inventory_open,inventory_close,waste_units
2016-12-15,Yunusari,Maize flour,2.1 KG,323.0,11407,58,287.8963121421824,2017-01-09,87,27,0
2016-12-15,Yunusari,Millet,2.6 KG,371.0,11408,3,283.64906322443267,2017-04-03,14,9,1
2016-12-15,Yunusari,Rice (imported),2.8 KG,1000.0,11409,19,889.9422784027568,2017-04-17,33,12,4
2016-12-15,Yunusari,Rice (local),2.7 KG,675.0,11410,2,481.20589198973477,2017-11-07,18,16,4
2016-12-15,Yunusari,Yam,2.5 KG,242.0,11411,99,170.31961014220602,2017-06-07,109,8,2
2016-12-15,Yunusari,Eggs,30 pcs,1100.0,11412,21,778.4447281567795,2017-08-15,48,27,0
2016-12-15,Yunusari,Fish,KG,417.0,11413,67,351.025903348349,2017-04-13,110,43,2
2016-12-15,Yunusari,Meat (beef),KG,2500.0,11414,82,2202.098689792775,2017-05-23,126,41,1
2016-12-15,Yunusari,Meat (goat),KG,1400.0,11415,29,1202.0261119828187,2017-09-02,67,36,1
2016-12-15,Yunusari,Milk (powder),400 G,6000.0,11416,10,5016.847093583227,2017-01-17,35,25,1
2016-12-15,Yunusari,Oil (palm),L,1067.0,11417,77,814.7822772501881,2017-12-04,109,29,4
2016-12-15,Yunusari,Oil (vegetable),L,956.0,11418,14,795.1159736182191,2017-08-01,42,26,4
2016-12-15,Yunusari,Beans (red),2.5 KG,625.0,11419,4,444.649465082757,2017-06-28,15,11,3
2016-12-15,Yunusari,Beans (white),2.5 KG,521.0,11420,89,429.2938161393426,2017-07-27,121,32,2
2016-12-15,Yunusari,Cowpeas,2.5 KG,452.0,11421,40,374.4385028652289,2017-06-30,64,20,3
2016-12-15,Yunusari,Groundnuts,2.2 KG,581.0,11422,40,427.4074300058248,2017-12-11,57,16,1
2016-12-15,Yunusari,Bananas,1.3 KG,100.0,11423,32,71.23173946800674,2017-12-09,54,21,4
2016-12-15,Yunusari,Onions,0.5 KG,104.0,11424,10,92.33206204735596,2017-06-18,18,7,3
2016-12-15,Yunusari,Oranges,400 G,93.0,11425,28,74.26730107628035,2017-03-12,28,0,4
2016-12-15,Yunusari,Spinach,300 G,100.0,11426,62,85.6820915101718,2017-01-24,100,35,1
2016-12-15,Yunusari,Tomatoes,0.5 KG,50.0,11427,37,37.896169658439035,2017-10-18,85,47,3
2016-12-15,Yunusari,Watermelons,2.1 KG,100.0,11428,23,77.22425227525615,2017-04-03,70,45,3
2017-02-15,Yunusari,Maize flour,2.1 KG,323.0,12438,4,275.47510905718934,2017-11-02,14,10,1
2017-02-15,Yunusari,Millet,2.6 KG,371.0,12439,62,315.23214085133975,2017-03-09,111,48,4
2017-02-15,Yunusari,Rice (imported),2.8 KG,1000.0,12440,40,760.2844562422753,2017-08-09,58,16,3
2017-02-15,Yunusari,Rice (local),2.7 KG,733.0,12441,78,627.691797425649,2017-06-13,119,41,1
2017-02-15,Yunusari,Sorghum,2.7 KG,395.0,12442,31,326.78050456894715,2018-02-12,76,45,4
2017-02-15,Yunusari,Yam,2.5 KG,403.0,12443,18,345.5609145895049,2017-10-13,30,8,4
2017-02-15,Yunusari,Eggs,30 pcs,1100.0,12444,9,942.8799315521819,2017-05-27,40,29,3
2017-02-15,Yunusari,Fish,KG,208.0,12445,99,151.10546267050913,2017-09-04,116,15,4
2017-02-15,Yunusari,Meat (beef),KG,1200.0,12446,4,871.8398684257301,2017-03-15,28,20,1
2017-02-15,Yunusari,Meat (goat),KG,1200.0,12447,96,883.7088983632221,2017-06-01,100,1,0
2017-02-15,Yunusari,Milk (powder),400 G,1000.0,12448,88,874.2083747826687,2017-12-14,89,0,2
2017-02-15,Yunusari,Oil (palm),L,1000.0,12449,63,768.6960737468949,2017-09-18,96,32,2
2017-02-15,Yunusari,Oil (vegetable),L,753.0,12450,46,562.5197080058712,2018-01-03,93,43,2
2017-02-15,Yunusari,Beans (red),2.5 KG,625.0,12451,8,475.8278291138529,2017-05-14,43,32,2
2017-02-15,Yunusari,Beans (white),2.5 KG,625.0,12452,96,559.9030192449766,2017-11-25,112,12,4
2017-02-15,Yunusari,Cowpeas,2.5 KG,521.0,12453,64,438.15806360027267,2017-06-27,88,21,2
2017-02-15,Yunusari,Groundnuts,2.2 KG,733.0,12454,71,520.8139127887919,2018-01-09,108,34,3
2017-02-15,Yunusari,Bananas,1.3 KG,200.0,12455,21,140.64009580153333,2017-10-08,65,43,1
2017-02-15,Yunusari,Onions,0.5 KG,63.0,12456,59,55.91644844967226,2017-09-25,78,17,2
2017-02-15,Yunusari,Oranges,400 G,80.0,12457,84,63.728761569506176,2018-02-14,115,27,3
2017-02-15,Yunusari,Spinach,300 G,50.0,12458,86,40.442786609152186,2017-10-08,112,22,4
2017-02-15,Yunusari,Tomatoes,0.5 KG,30.0,12459,64,24.2539085101366,2018-02-05,109,43,3
2017-02-15,Yunusari,Watermelons,2.1 KG,300.0,12460,94,251.33706128938812,2018-01-25,96,0,1
2017-03-15,Yunusari,Maize flour,2.1 KG,323.0,13053,26,287.70312722080513,2017-04-17,27,1,1
2017-03-15,Yunusari,Millet,2.6 KG,371.0,13054,92,289.3514120914596,2017-05-07,94,0,3
2017-03-15,Yunusari,Rice (imported),2.8 KG,1050.0,13055,14,909.5883041861902,2017-09-17,44,28,1
2017-03-15,Yunusari,Rice (local),2.7 KG,820.0,13056,72,630.9240249193163,2017-09-26,119,44,2
2017-03-15,Yunusari,Sorghum,2.7 KG,363.0,13057,61,255.52010191719583,2018-01-01,91,30,3
2017-03-15,Yunusari,Yam,2.5 KG,363.0,13058,67,264.156438809989,2018-02-15,93,26,1
2017-03-15,Yunusari,Eggs,30 pcs,1150.0,13059,65,998.5881569711477,2017-06-15,77,11,3
2017-03-15,Yunusari,Fish,KG,167.0,13060,35,119.06768527609897,2017-10-17,49,12,2
2017-03-15,Yunusari,Meat (beef),KG,1200.0,13061,8,892.0007806767829,2018-01-23,52,40,2
2017-03-15,Yunusari,Meat (goat),KG,1300.0,13062,61,970.9049252226131,2017-05-08,66,5,4
2017-03-15,Yunusari,Milk (powder),400 G,1000.0,13063,98,788.170716813078,2017-04-26,100,0,2
2017-03-15,Yunusari,Oil (palm),L,867.0,13064,60,772.9296463644893,2017-10-08,69,5,2
2017-03-15,Yunusari,Oil (vegetable),L,967.0,13065,68,835.9186225881184,2017-05-01,107,38,2
2017-03-15,Yunusari,Beans (red),2.5 KG,781.0,13066,87,671.4954815328384,2017-12-12,97,6,2
2017-03-15,Yunusari,Beans (white),2.5 KG,755.0,13067,39,603.9525063994136,2017-05-24,70,29,0
2017-03-15,Yunusari,Cowpeas,2.5 KG,521.0,13068,68,439.06304934738176,2017-07-30,75,4,3
2017-03-15,Yunusari,Groundnuts,2.2 KG,733.0,13069,92,562.6531943547807,2017-07-12,135,43,0
2017-03-15,Yunusari,Bananas,1.3 KG,250.0,13070,15,177.1579783657756,2017-10-23,20,4,0
2017-03-15,Yunusari,Onions,0.5 KG,81.0,13071,49,69.09932751259092,2017-10-19,76,27,3
2017-03-15,Yunusari,Oranges,400 G,90.0,13072,40,70.75160048187968,2017-05-29,66,24,0
2017-03-15,Yunusari,Spinach,300 G,65.0,13073,31,56.78742659023716,2017-05-15,52,18,4
2017-03-15,Yunusari,Tomatoes,0.5 KG,50.0,13074,45,41.2378546552701,2017-06-14,52,7,2
2017-03-15,Yunusari,Watermelons,2.1 KG,250.0,13075,58,183.9001068274801,2018-01-11,81,22,2
2017-04-15,Yunusari,Maize flour,2.1 KG,323.0,13681,32,284.99929865186044,2018-02-25,39,7,4
2017-04-15,Yunusari,Millet,2.6 KG,371.0,13682,39,325.338252846938,2017-08-04,39,0,3
2017-04-15,Yunusari,Rice (imported),2.8 KG,1000.0,13683,58,815.4702763257122,2017-06-17,76,16,0
2017-04-15,Yunusari,Rice (local),2.7 KG,771.0,13684,11,588.321865631431,2018-03-10,57,46,0
2017-04-15,Yunusari,Sorghum,2.7 KG,363.0,13685,11,267.18546975915746,2017-04-22,28,14,0
2017-04-15,Yunusari,Yam,2.5 KG,726.0,13686,93,587.2179013177706,2017-11-17,141,44,0
2017-04-15,Yunusari,Eggs,30 pcs,1200.0,13687,58,916.2633519262038,2017-10-01,103,43,2
2017-04-15,Yunusari,Fish,KG,167.0,13688,26,145.7672623772539,2017-05-18,51,24,1
2017-04-15,Yunusari,Meat (beef),KG,1000.0,13689,66,833.649052515236,2017-04-24,69,1,2
2017-04-15,Yunusari,Meat (goat),KG,1100.0,13690,13,815.3064941330182,2017-11-19,40,23,1
2017-04-15,Yunusari,Milk (powder),400 G,1000.0,13691,2,738.2838246138815,2017-09-01,26,24,0
2017-04-15,Yunusari,Oil (palm),L,1040.0,13692,59,792.4890205023055,2017-04-22,73,14,0
2017-04-15,Yunusari,Oil (vegetable),L,1067.0,13693,20,940.8453232036802,2017-12-08,34,11,4
2017-04-15,Yunusari,Beans (red),2.5 KG,781.0,13694,45,575.4077612200807,2017-07-08,45,0,4
