timestamp,store_id,sku,unit,unit_price,transaction_id,qty,cost_price,expiry_date,inventory_open,inventory_close,waste_units
2016-12-15,Yusufari,Maize flour,2.1 KG,283.0,11429,96,240.34017186252603,2017-06-27,139,42,4
2016-12-15,Yusufari,Millet,2.6 KG,279.0,11430,61,217.74767122392782,2017-09-04,67,5,4
2016-12-15,Yusufari,Rice (imported),2.8 KG,954.0,11431,53,682.2201065316278,2017-11-05,57,2,4
2016-12-15,Yusufari,Rice (local),2.7 KG,617.0,11432,82,539.2243149120244,2017-04-16,105,22,4
2016-12-15,Yusufari,Yam,2.5 KG,296.0,11433,89,243.8886816434619,2017-10-28,101,9,4
2016-12-15,Yusufari,Eggs,30 pcs,1200.0,11434,17,1020.7279860789895,2017-08-11,31,10,4
2016-12-15,Yusufari,Fish,KG,181.0,11435,38,141.3379114514021,2017-08-25,43,1,4
2016-12-15,Yusufari,Meat (beef),KG,1000.0,11436,90,894.8224744426371,2017-09-12,90,0,2
2016-12-15,Yusufari,Meat (goat),KG,1200.0,11437,87,973.2781096904914,2017-10-11,108,21,4
2016-12-15,Yusufari,Milk (powder),400 G,1000.0,11438,14,834.6993000430878,2017-08-10,34,18,0
2016-12-15,Yusufari,Oil (palm),L,684.0,11439,16,484.6548345432918,2017-03-01,16,0,1
2016-12-15,Yusufari,Oil (vegetable),L,524.0,11440,48,409.53021568607494,2016-12-23,65,16,3
2016-12-15,Yusufari,Beans (red),2.5 KG,583.0,11441,62,519.7632714013486,2017-09-28,110,45,1
2016-12-15,Yusufari,Beans (white),2.5 KG,573.0,11442,26,507.58809494398247,2017-04-20,52,26,3
2016-12-15,Yusufari,Cowpeas,2.5 KG,494.0,11443,29,436.1090552921087,2017-05-26,40,11,4
2016-12-15,Yusufari,Groundnuts,2.2 KG,642.0,11444,90,558.5945782680833,2017-06-14,120,29,4
2016-12-15,Yusufari,Bananas,1.3 KG,150.0,11445,86,133.07896038076348,2017-05-19,90,2,3
2016-12-15,Yusufari,Onions,0.5 KG,84.0,11446,49,73.26279587194968,2017-11-15,64,14,4
2016-12-15,Yusufari,Oranges,400 G,50.0,11447,79,41.03015828069352,2017-06-02,107,28,0
2016-12-15,Yusufari,Spinach,300 G,50.0,11448,37,44.67745410365094,2017-01-04,48,8,0
2016-12-15,Yusufari,Tomatoes,0.5 KG,37.0,11449,91,28.57156432289946,2017-12-05,106,11,4
2016-12-15,Yusufari,Watermelons,2.1 KG,267.0,11450,12,193.96358886810347,2017-03-17,52,37,0
2017-02-15,Yusufari,Maize flour,2.1 KG,323.0,12461,64,231.49027788434316,2017-08-04,99,33,1
2017-02-15,Yusufari,Millet,2.6 KG,371.0,12462,25,276.28362859274694,2017-10-29,61,36,2
2017-02-15,Yusufari,Rice (imported),2.8 KG,1100.0,12463,58,801.2260554161511,2017-09-07,73,12,2
2017-02-15,Yusufari,Rice (local),2.7 KG,675.0,12464,16,572.9126040096896,2017-09-30,58,39,0
2017-02-15,Yusufari,Sorghum,2.7 KG,312.0,12465,70,256.14174107802853,2018-02-12,100,26,2
2017-02-15,Yusufari,Yam,2.5 KG,323.0,12466,70,269.486760833565,2017-05-07,75,2,3
2017-02-15,Yusufari,Eggs,30 pcs,1100.0,12467,19,776.6698840550679,2017-07-29,54,32,3
2017-02-15,Yusufari,Fish,KG,125.0,12468,27,98.09266906737413,2017-08-27,30,2,2
2017-02-15,Yusufari,Meat (beef),KG,1100.0,12469,89,881.0671475739643,2017-04-15,92,3,1
2017-02-15,Yusufari,Meat (goat),KG,1200.0,12470,61,1079.836117812208,2017-07-29,79,18,4
2017-02-15,Yusufari,Milk (powder),400 G,1000.0,12471,33,752.2250132928268,2018-01-21,58,22,4
2017-02-15,Yusufari,Oil (palm),L,933.0,12472,88,712.3066332408265,2017-09-20,133,43,1
2017-02-15,Yusufari,Oil (vegetable),L,747.0,12473,20,616.4693861269244,2017-06-29,42,22,3
2017-02-15,Yusufari,Beans (red),2.5 KG,729.0,12474,61,611.7732246275701,2017-10-13,83,21,1
2017-02-15,Yusufari,Beans (white),2.5 KG,625.0,12475,72,440.0369283659787,2017-05-31,121,48,0
2017-02-15,Yusufari,Cowpeas,2.5 KG,469.0,12476,86,362.41221629250344,2018-01-09,126,38,0
2017-02-15,Yusufari,Groundnuts,2.2 KG,697.0,12477,9,577.4249485128767,2017-04-15,21,10,1
2017-02-15,Yusufari,Bananas,1.3 KG,150.0,12478,63,128.93718193076614,2017-06-26,98,34,4
2017-02-15,Yusufari,Onions,0.5 KG,63.0,12479,42,54.80518276804882,2017-05-20,62,20,1
2017-02-15,Yusufari,Oranges,400 G,50.0,12480,91,39.751619362896776,2017-12-04,138,45,4
2017-02-15,Yusufari,Spinach,300 G,50.0,12481,26,43.682641296176655,2017-11-24,34,7,0
2017-02-15,Yusufari,Tomatoes,0.5 KG,20.0,12482,73,15.73823590899271,2017-07-10,116,40,3
2017-02-15,Yusufari,Watermelons,2.1 KG,150.0,12483,97,120.07143945841223,2017-11-14,99,0,3
2017-03-15,Yusufari,Maize flour,2.1 KG,343.0,13076,73,266.7027285216184,2018-02-04,86,10,2
2017-03-15,Yusufari,Millet,2.6 KG,371.0,13077,63,309.49891629551263,2017-06-08,82,19,1
2017-03-15,Yusufari,Rice (imported),2.8 KG,1050.0,13078,43,863.2493570146869,2017-05-20,75,31,2
2017-03-15,Yusufari,Rice (local),2.7 KG,820.0,13079,9,625.1736607363079,2017-11-19,27,16,1
2017-03-15,Yusufari,Sorghum,2.7 KG,389.0,13080,11,315.3901666628872,2017-06-08,54,39,0
