Date,Product,Category,Price,Quantity,Revenue
2024-01-01,Rice 5kg,Grains,4380,185,810300
2024-01-01,Beans 2kg,Grains,4054,141,571614
2024-01-01,Maize Flour 1kg,Grains,1937,30,58110
2024-01-01,Garri 2kg,Grains,1652,153,252756
2024-01-01,Tomatoes 1kg,Vegetables,530,120,63600
2024-01-01,Onions 1kg,Vegetables,2812,105,295260
2024-01-01,Pepper 0.5kg,Vegetables,856,148,126688
2024-01-01,Spinach Bunch,Vegetables,2852,196,558992
2024-01-01,Milk 1L,Dairy,942,92,86664
2024-01-01,Yoghurt 500ml,Dairy,1806,81,146286
2024-01-01,Butter 250g,Dairy,1155,71,82005
2024-01-01,Cheese 200g,Dairy,1797,58,104226
2024-01-01,Coke 50cl,Beverages,3445,115,396175
2024-01-01,Pepsi 50cl,Beverages,4634,149,690466
2024-01-01,Malt 33cl,Beverages,893,74,66082
2024-01-01,Juice 1L,Beverages,3410,55,187550
2024-01-01,Biscuits Pack,Snacks,3978,191,759798
2024-01-01,Chin Chin 500g,Snacks,1871,110,205810
2024-01-01,Plantain Chips 200g,Snacks,3443,129,444147
2024-01-01,Groundnut 500g,Snacks,3461,89,308029
2024-01-01,Chicken 1kg,Proteins,3382,57,192774
2024-01-01,Beef 1kg,Proteins,2836,35,99260
2024-01-01,Fish 1kg,Proteins,4669,170,793730
2024-01-01,Eggs Crate,Proteins,1094,142,155348
2024-01-01,Detergent 1kg,Household,4783,141,674403
2024-01-01,Soap Bar,Household,1877,80,150160
2024-01-01,Toothpaste 100ml,Household,922,114,105108
2024-01-01,Tissue Roll Pack,Household,4110,42,172620
2024-01-02,Rice 5kg,Grains,3796,19,72124
2024-01-02,Beans 2kg,Grains,1835,63,115605
2024-01-02,Maize Flour 1kg,Grains,1831,76,139156
2024-01-02,Garri 2kg,Grains,1232,115,141680
2024-01-02,Tomatoes 1kg,Vegetables,4653,42,195426
2024-01-02,Onions 1kg,Vegetables,1977,37,73149
2024-01-02,Pepper 0.5kg,Vegetables,2323,61,141703
2024-01-02,Spinach Bunch,Vegetables,1431,97,138807
2024-01-02,Milk 1L,Dairy,4660,14,65240
2024-01-02,Yoghurt 500ml,Dairy,2681,32,85792
2024-01-02,Butter 250g,Dairy,4478,114,510492
2024-01-02,Cheese 200g,Dairy,2404,176,423104
2024-01-02,Coke 50cl,Beverages,3959,18,71262
2024-01-02,Pepsi 50cl,Beverages,2569,177,454713
2024-01-02,Malt 33cl,Beverages,2361,184,434424
2024-01-02,Juice 1L,Beverages,2059,146,300614
2024-01-02,Biscuits Pack,Snacks,2438,90,219420
2024-01-02,Chin Chin 500g,Snacks,1977,88,173976
2024-01-02,Plantain Chips 200g,Snacks,1744,126,219744
2024-01-02,Groundnut 500g,Snacks,1091,60,65460
2024-01-02,Chicken 1kg,Proteins,1275,138,175950
2024-01-02,Beef 1kg,Proteins,2438,28,68264
2024-01-02,Fish 1kg,Proteins,4379,50,218950
2024-01-02,Eggs Crate,Proteins,4352,86,374272
2024-01-02,Detergent 1kg,Household,2126,151,321026
2024-01-02,Soap Bar,Household,1843,114,210102
2024-01-02,Toothpaste 100ml,Household,4021,102,410142
2024-01-02,Tissue Roll Pack,Household,4372,14,61208
2024-01-03,Rice 5kg,Grains,1111,46,51106
2024-01-03,Beans 2kg,Grains,1659,152,252168
2024-01-03,Maize Flour 1kg,Grains,849,147,124803
2024-01-03,Garri 2kg,Grains,1780,187,332860
2024-01-03,Tomatoes 1kg,Vegetables,3413,160,546080
2024-01-03,Onions 1kg,Vegetables,1116,27,30132
2024-01-03,Pepper 0.5kg,Vegetables,3627,153,554931
2024-01-03,Spinach Bunch,Vegetables,3527,54,190458
2024-01-03,Milk 1L,Dairy,2846,12,34152
2024-01-03,Yoghurt 500ml,Dairy,3988,43,171484
2024-01-03,Butter 250g,Dairy,3292,190,625480
2024-01-03,Cheese 200g,Dairy,3311,37,122507
2024-01-03,Coke 50cl,Beverages,2330,57,132810
2024-01-03,Pepsi 50cl,Beverages,506,18,9108
2024-01-03,Malt 33cl,Beverages,4471,79,353209
2024-01-03,Juice 1L,Beverages,4577,107,489739
2024-01-03,Biscuits Pack,Snacks,970,198,192060
2024-01-03,Chin Chin 500g,Snacks,804,194,155976
2024-01-03,Plantain Chips 200g,Snacks,2370,191,452670
2024-01-03,Groundnut 500g,Snacks,1283,80,102640
2024-01-03,Chicken 1kg,Proteins,3880,33,128040
2024-01-03,Beef 1kg,Proteins,4508,87,392196
2024-01-03,Fish 1kg,Proteins,1751,192,336192
2024-01-03,Eggs Crate,Proteins,3672,198,727056
2024-01-03,Detergent 1kg,Household,2393,117,279981
2024-01-03,Soap Bar,Household,4917,137,673629
2024-01-03,Toothpaste 100ml,Household,4003,85,340255
